date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-08-02,196.27000427,202.07000732,196.25,200.08999634,17889200,0,1,188.29517944,yahoo_finance_raw
2021-08-03,195.00999451,197.44000244,192,197.38000488,20115900,0,1,185.74493537,yahoo_finance_raw
2021-08-04,197.49000549,203.2749939,196.91000366,200.71000671,22327300,0,1,188.87864172,yahoo_finance_raw
2021-08-05,199.27000427,200.28999329,197.63999939,199.27999878,9881400,0,1,187.53292926,yahoo_finance_raw
2021-08-06,199.25,199.32000732,195.67999268,196.38999939,11967700,0,1,184.81328828,yahoo_finance_raw
2021-08-09,194.58000183,195.5,192.82000732,195.25,14657200,0,1,183.74048907,yahoo_finance_raw
2021-08-10,197.27000427,198.44999695,195.07299805,195.72999573,9983700,0,1,184.19219022,yahoo_finance_raw
2021-08-11,196.6000061,196.91999817,194.72999573,194.86000061,8985100,0,1,183.37347919,yahoo_finance_raw
2021-08-12,191.16999817,192.97999573,189.68499756,191.66000366,12873400,0,1,180.36211426,yahoo_finance_raw
2021-08-13,188.61000061,189.25999451,186.71000671,188.61999512,15377000,0,1,177.50130679,yahoo_finance_raw
2021-08-16,185,186.25999451,181.50999451,182.71000671,21020700,0,1,171.93969778,yahoo_finance_raw
2021-08-17,175.91999817,177.88999939,173.1499939,173.72999573,40558000,0,1,163.48903652,yahoo_finance_raw
2021-08-18,174.1000061,175.36000061,172.11000061,172.3500061,34339800,0,1,162.19039392,yahoo_finance_raw
2021-08-19,166.69999695,167.26400757,159.50999451,160.55000305,66663000,0,1,151.08597225,yahoo_finance_raw
2021-08-20,164.11999512,166.92999268,155.5,157.96000671,75948900,0,1,148.64864987,yahoo_finance_raw
2021-08-23,159.27999878,161.47000122,152.80000305,161.05999756,88699200,0,1,151.56590382,yahoo_finance_raw
2021-08-24,169.03999329,174.1519928,168.15800476,171.69999695,62786400,0,1,161.57870122,yahoo_finance_raw
2021-08-25,168.69999695,169.61000061,166.08000183,169.1000061,26055400,0,1,159.13197349,yahoo_finance_raw
2021-08-26,167.46000671,168.44999695,164.82000732,165.24000549,18816500,0,1,155.49951049,yahoo_finance_raw
2021-08-27,159.99000549,161.77000427,158.55000305,159.47000122,31718100,0,1,150.06963389,yahoo_finance_raw
2021-08-30,160.16999817,163.28999329,158.22999573,162.28999329,23769400,0,1,152.7233943,yahoo_finance_raw
2021-08-31,167.69999695,169,166.13999939,166.99000549,24629100,0,1,157.14635226,yahoo_finance_raw
2021-09-01,169.55999756,174.78999329,169.33000183,173.27999878,29550200,0,1,163.0655658,yahoo_finance_raw
2021-09-02,178.00999451,178.17999268,171.66999817,172,29302400,0,1,161.86101982,yahoo_finance_raw
2021-09-03,169.5249939,172.05999756,168.88000488,170.30000305,16423500,0,1,160.26123354,yahoo_finance_raw
2021-09-07,174.1499939,176.83999634,173.36999512,175.16000366,24608500,0,1,164.83474898,yahoo_finance_raw
2021-09-08,174.25,174.36999512,169.25999451,170.71000671,18993000,0,1,160.64706849,yahoo_finance_raw
2021-09-09,167.30000305,169.03999329,165.58000183,167.32000732,17295800,0,1,157.45690129,yahoo_finance_raw
2021-09-10,171.19999695,171.63999939,167.61000061,168.1000061,15064300,0,1,158.19092105,yahoo_finance_raw
2021-09-13,164.49000549,166.86199951,163.02000427,165.41000366,15458600,0,1,155.65948768,yahoo_finance_raw
2021-09-14,162.86000061,163.06900024,159.47999573,160.1499939,20925900,0,1,150.70954265,yahoo_finance_raw
2021-09-15,157.94999695,158.02999878,153.91999817,157.86000061,31796600,0,1,148.55453888,yahoo_finance_raw
2021-09-16,154.91999817,157.63900757,153.66999817,156.25999451,24358900,0,1,147.04884923,yahoo_finance_raw
2021-09-17,158.47999573,160.38000488,158.08999634,160.05000305,25489000,0,1,150.61544603,yahoo_finance_raw
2021-09-20,154.3999939,155.13999939,149.08999634,151.49000549,36177500,0,1,142.56003943,yahoo_finance_raw
2021-09-21,151.58000183,152.58000183,149.57099915,150.17999268,19494700,0,1,141.32724867,yahoo_finance_raw
