date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-07-19,341.79000854,350.02999878,337.38000488,339.88000488,9715300,0,1,311.45436124,yahoo_finance_bootstrap
2021-07-20,340.29000854,346.11999512,339.75,345.07998657,5802200,0,1,316.21944583,yahoo_finance_bootstrap
2021-07-21,346.97000122,348.1499939,346.36999512,347.98999023,3056800,0,1,318.88607323,yahoo_finance_bootstrap
2021-07-22,347.76998901,348.80999756,346.67999268,348.26000977,2429300,0,1,319.13350985,yahoo_finance_bootstrap
2021-07-23,350,350.98999023,349.20999146,350.57000732,4142300,0,1,321.25031226,yahoo_finance_bootstrap
2021-07-26,350,351.45001221,349.48999023,351.41000366,2466600,0,1,322.02005605,yahoo_finance_bootstrap
2021-07-27,350.01998901,350.67999268,348.73001099,350.61999512,3902600,0,1,321.29611936,yahoo_finance_bootstrap
2021-07-28,351.01998901,351.23001099,348.70999146,349.35998535,3697700,0,1,320.14148969,yahoo_finance_bootstrap
2021-07-29,350.95001221,351.70999146,350.38000488,350.82000732,2425700,0,1,321.47940367,yahoo_finance_bootstrap
2021-07-30,349.88000488,351.01000977,348.67001343,349.48001099,3576700,0,1,320.25147706,yahoo_finance_bootstrap
2021-08-02,350.45001221,351.91000366,348.05999756,348.3500061,2827100,0,1,319.2159794,yahoo_finance_bootstrap
2021-08-03,349.08999634,351.19000244,347.10998535,351.08999634,3819300,0,1,321.72681233,yahoo_finance_bootstrap
2021-08-04,349.58999634,350.07998657,347.88000488,347.98999023,3118500,0,1,318.88607323,yahoo_finance_bootstrap
2021-08-05,348.8500061,350.6499939,348.67001343,350.60998535,2261400,0,1,321.28694675,yahoo_finance_bootstrap
2021-08-06,351.61999512,352.48999023,351.45999146,352.08999634,2123700,0,1,322.64317798,yahoo_finance_bootstrap
2021-08-09,351.6000061,352.05999756,350.54998779,351.1499939,2322500,0,1,321.78179203,yahoo_finance_bootstrap
2021-08-10,351.41000366,352.94000244,351.01000977,352.73001099,2841000,0,1,323.22966542,yahoo_finance_bootstrap
2021-08-11,353.94000244,355.11999512,353.70001221,354.94000244,3422500,0,1,325.25482567,yahoo_finance_bootstrap
2021-08-12,355.19000244,355.25,353.73999023,355.23001099,3118600,0,1,325.52057954,yahoo_finance_bootstrap
2021-08-13,355.8500061,356.36999512,355,355.39001465,2414900,0,1,325.6672014,yahoo_finance_bootstrap
2021-08-16,354.41000366,356.6000061,352.66000366,356.57000732,3634600,0,1,326.74850616,yahoo_finance_bootstrap
2021-08-17,353.91000366,354.67001343,351.51000977,353.82998657,5019600,0,1,324.23764526,yahoo_finance_bootstrap
2021-08-18,352.61999512,354.04000854,349.89001465,350.11999512,4038000,0,1,320.83793653,yahoo_finance_bootstrap
2021-08-19,347.32998657,350.48001099,347.30999756,349.48001099,5442200,0,1,320.25147706,yahoo_finance_bootstrap
2021-08-20,348.98001099,351.75,348.52999878,351.16000366,3394800,0.61111,1,322.3546425,yahoo_finance_bootstrap
2021-08-23,352.95999146,354.30999756,352.92001343,353.45001221,3569200,0,1,324.45680356,yahoo_finance_bootstrap
2021-08-24,354.07998657,354.48999023,353.61999512,353.73999023,1981400,0,1,324.72299493,yahoo_finance_bootstrap
2021-08-25,353.77999878,355.04000854,352.92001343,354.17999268,2434700,0,1,325.12690434,yahoo_finance_bootstrap
2021-08-26,354.47000122,355,352.07000732,352.16000366,3008900,0,1,323.27261334,yahoo_finance_bootstrap
2021-08-27,352.6499939,354.8500061,352.6499939,354.57000732,3163700,0,1,325.48492642,yahoo_finance_bootstrap
2021-08-30,354.95999146,355.22000122,353.88000488,354.07998657,2482000,0,1,325.03510166,yahoo_finance_bootstrap
2021-08-31,353.79998779,354.79998779,353.17999268,353.92001343,2913800,0,1,324.88825098,yahoo_finance_bootstrap
2021-09-01,354.29000854,354.3500061,353.29000854,353.54998779,2739200,0,1,324.54857823,yahoo_finance_bootstrap
2021-09-02,354.77999878,355.17999268,353.92001343,354.86999512,2390000,0,1,325.76030646,yahoo_finance_bootstrap
2021-09-03,353.67999268,354.6499939,353.08999634,354.14001465,2465400,0,1,325.09020568,yahoo_finance_bootstrap
2021-09-07,353.64001465,353.69000244,350.98999023,351.44000244,3168500,0,1,322.61167321,yahoo_finance_bootstrap
2021-09-08,350.82000732,352.17001343,349.64001465,350.73001099,3075700,0,1,321.95992176,yahoo_finance_bootstrap
2021-09-09,350.55999756,352.51000977,348.92001343,349.30999756,3484700,0,1,320.65639085,yahoo_finance_bootstrap
2021-09-10,351.25,351.66000366,346.57000732,346.70001221,4539000,0,1,318.26050041,yahoo_finance_bootstrap
2021-09-13,348.91000366,349.94000244,347.47000122,349.29998779,5439700,0,1,320.64720218,yahoo_finance_bootstrap
2021-09-14,350.3999939,350.57000732,345.70999146,346.47000122,3902200,0,1,318.04935703,yahoo_finance_bootstrap
2021-09-15,346.41000366,349.45999146,345.77999878,348.82000732,3267300,0,1,320.2065941,yahoo_finance_bootstrap
2021-09-16,348.91000366,350.07998657,346,348.17999268,3646000,0,1,319.61907932,yahoo_finance_bootstrap
2021-09-17,346.8500061,347.70001221,345.05999756,345.64001465,5380900,0.73564,1,317.9592427,yahoo_finance_bootstrap
2021-09-20,340.22000122,342.16000366,335.98999023,339.3999939,10010600,0,1,312.21895747,yahoo_finance_bootstrap
2021-09-21,341.41000366,343.07000732,339.01000977,339.10998535,6071100,0,1,311.95217442,yahoo_finance_bootstrap
2021-09-22,341.16000366,344.32998657,340.44000244,342.5,6862700,0,1,315.07069787,yahoo_finance_bootstrap
2021-09-23,344.80999756,348.67001343,344.52999878,347.55999756,5592200,0,1,319.72546272,yahoo_finance_bootstrap
2021-09-24,346.5,348.42999268,346.30999756,347.86999512,3121600,0,1,320.01063395,yahoo_finance_bootstrap
2021-09-27,348.29000854,350.5,348.17001343,348.60998535,3426000,0,1,320.69136166,yahoo_finance_bootstrap
2021-09-28,347.30999756,347.82000732,342.41000366,342.92001343,7493800,0,1,315.45707429,yahoo_finance_bootstrap
2021-09-29,343.86999512,345.67001343,342.88000488,343.76998901,4116600,0,1,316.23897911,yahoo_finance_bootstrap
2021-09-30,345.07998657,345.44000244,338.10998535,338.29000854,7926000,0,1,311.19786591,yahoo_finance_bootstrap
2021-10-01,340.02999878,344.77999878,337.67999268,343.17999268,6219800,0,1,315.69623295,yahoo_finance_bootstrap
2021-10-04,342.60998535,344.02999878,338.07000732,340.01000977,7037700,0,1,312.78011988,yahoo_finance_bootstrap
2021-10-05,341.13000488,344.86999512,340.47000122,343.13000488,3826100,0,1,315.65024846,yahoo_finance_bootstrap
2021-10-06,340.48001099,344.29998779,338.47000122,344.11999512,6276300,0,1,316.56095478,yahoo_finance_bootstrap
2021-10-07,346.86999512,349.76998901,346.76998901,347.63000488,5310400,0,1,319.78986347,yahoo_finance_bootstrap
2021-10-08,347.92001343,348.45999146,346.57998657,347.52999878,3658300,0,1,319.69786641,yahoo_finance_bootstrap
2021-10-11,347.66000366,349.55999756,344.85998535,344.98001099,4098400,0,1,317.3520958,yahoo_finance_bootstrap
2021-10-12,345.48999023,346.1000061,343.19000244,343.77999878,5100300,0,1,316.24818724,yahoo_finance_bootstrap
2021-10-13,343.95001221,344.55999756,341.11999512,343.89001465,4189100,0,1,316.34939242,yahoo_finance_bootstrap
2021-10-14,347.20999146,349.22000122,346.6000061,349.13000488,4473900,0,1,321.16973514,yahoo_finance_bootstrap
2021-10-15,351.6499939,353.07998657,350.92001343,352.8500061,4206800,0.11671,1,324.70036146,yahoo_finance_bootstrap
2021-10-18,351.33999634,353.13000488,350.25,352.5,3310600,0,1,324.37827812,yahoo_finance_bootstrap
2021-10-19,353.67001343,354.51000977,352.79998779,354.45999146,2380900,0,1,326.18190551,yahoo_finance_bootstrap
2021-10-20,354.51000977,356.57998657,354.36999512,356.02999878,2873800,0,1,327.62666089,yahoo_finance_bootstrap
2021-10-21,355.39001465,356.08999634,354.29998779,355.95999146,2243800,0,1,327.56223861,yahoo_finance_bootstrap
2021-10-22,355.97000122,357.61999512,355.32000732,356.73999023,3872300,0,1,328.28001069,yahoo_finance_bootstrap
2021-10-25,357.35998535,357.89001465,356.29000854,357.54998779,2518200,0,1,329.02538832,yahoo_finance_bootstrap
2021-10-26,358.55999756,358.92999268,357.36999512,357.5,3182200,0,1,328.97938845,yahoo_finance_bootstrap
2021-10-27,358.08999634,358.29998779,354.95999146,354.98001099,3542100,0,1,326.66043896,yahoo_finance_bootstrap
2021-10-28,355.75,357.38000488,355.75,357.29998779,2490500,0,1,328.7953328,yahoo_finance_bootstrap
2021-10-29,356.6499939,358.51998901,356.39001465,358.23001099,2979600,0,1,329.65116067,yahoo_finance_bootstrap
2021-11-01,359.45001221,360.04998779,357.98001099,359.13000488,2548400,0,1,330.47935491,yahoo_finance_bootstrap
2021-11-02,359.41000366,360.88000488,358.79000854,360.57000732,2629000,0,1,331.80447693,yahoo_finance_bootstrap
2021-11-03,359.91000366,361.83999634,358.8999939,361.55999756,3557400,0,1,332.71548779,yahoo_finance_bootstrap
2021-11-04,361.33999634,361.6499939,359.86999512,361.3500061,3870900,0,1,332.52224902,yahoo_finance_bootstrap
2021-11-05,362.95999146,364.94000244,361.89001465,363.29998779,4489000,0,1,334.3166652,yahoo_finance_bootstrap
2021-11-08,365.05999756,365.64001465,363.32998657,364.32000732,3056000,0,1,335.25530968,yahoo_finance_bootstrap
2021-11-09,364.19000244,364.29998779,361.82000732,363.27999878,3680600,0,1,334.29827087,yahoo_finance_bootstrap
2021-11-10,362.51998901,363.73001099,360.27999878,361.07000732,3529000,0,1,332.26458797,yahoo_finance_bootstrap
2021-11-11,361.19000244,361.26000977,359.38000488,359.45999146,2461200,0,1,330.78301584,yahoo_finance_bootstrap
2021-11-12,360.69000244,361.73999023,359.57998657,361.27999878,3099800,0,1,332.45782674,yahoo_finance_bootstrap
2021-11-15,362.6000061,362.73001099,360.67001343,361.23999023,2555000,0,1,332.42100999,yahoo_finance_bootstrap
2021-11-16,361.82000732,363.54000854,361.70001221,361.92999268,2728600,0,1,333.05596546,yahoo_finance_bootstrap
2021-11-17,361.44000244,361.57998657,359.54000854,359.8500061,2976000,0,1,331.14191592,yahoo_finance_bootstrap
2021-11-18,360.02999878,360.04998779,357.13000488,359.3500061,3438100,0,1,330.68180489,yahoo_finance_bootstrap
2021-11-19,357.89001465,357.89001465,355.38000488,355.91000366,3542200,0.70096,1,328.15635136,yahoo_finance_bootstrap
2021-11-22,357.48001099,359.23999023,356.08999634,356.20001221,4929200,0,1,328.42374521,yahoo_finance_bootstrap
2021-11-23,356.27999878,358.36999512,355.33999634,358.01998901,5789300,0,1,330.1018013,yahoo_finance_bootstrap
2021-11-24,356.05999756,358.20001221,355.79998779,358.02999878,4246700,0,1,330.11103051,yahoo_finance_bootstrap
2021-11-26,350.32998657,351.45999146,347.35998535,349.01998901,9075000,0,1,321.803616,yahoo_finance_bootstrap
2021-11-29,352.58999634,352.76998901,348.92001343,351.19000244,5243000,0,1,323.80441306,yahoo_finance_bootstrap
2021-11-30,348.70001221,350.01000977,344.35998535,344.8999939,9543500,0,1,318.00489567,yahoo_finance_bootstrap
