date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-07-19,17.91525078,19.04199982,17.8654995,18.77975082,749060000,0,1,18.42660739,yahoo_finance_bootstrap
2021-07-20,18.72999954,18.83799934,18.16399956,18.61199951,434687000,0,4,18.26201056,yahoo_finance_bootstrap
2021-07-21,18.88199997,19.52700043,18.74200058,19.40999985,371017000,0,1,19.04500492,yahoo_finance_bootstrap
2021-07-22,19.6420002,19.88699913,19.27599907,19.59399986,323826000,0,1,19.2255449,yahoo_finance_bootstrap
2021-07-23,19.65600014,19.70000076,19.25,19.55800056,195672000,0,1,19.19022255,yahoo_finance_bootstrap
2021-07-26,19.31100082,19.44199944,18.91399956,19.29400063,203943000,0,1,18.931187,yahoo_finance_bootstrap
2021-07-27,19.26499939,19.62199974,18.74099922,19.20800018,248863000,0,1,18.84680374,yahoo_finance_bootstrap
2021-07-28,19.31900024,19.64599991,18.99500084,19.50300026,202191000,0,1,19.1362565,yahoo_finance_bootstrap
2021-07-29,19.5189991,19.85300064,19.32799911,19.66200066,190781000,0,1,19.29226698,yahoo_finance_bootstrap
2021-07-30,19.41799927,19.62999916,19.26300049,19.49900055,183497000,0,1,19.132332,yahoo_finance_bootstrap
2021-08-02,19.70000076,19.96100044,19.36100006,19.75,217444000,0,1,19.37861154,yahoo_finance_bootstrap
2021-08-03,19.73999977,20.22200012,19.21999931,19.81500053,301811000,0,1,19.44238977,yahoo_finance_bootstrap
2021-08-04,19.98999977,20.31800079,19.82799911,20.27400017,231309000,0,1,19.89275816,yahoo_finance_bootstrap
2021-08-05,20.5,20.7329998,20.34199905,20.63699913,211435000,0,1,20.24893111,yahoo_finance_bootstrap
2021-08-06,20.52400017,20.56999969,20.20999908,20.36599922,178497000,0,1,19.98302722,yahoo_finance_bootstrap
2021-08-09,20.44599915,20.50799942,20.14299965,20.29500008,146443000,0,1,19.91336318,yahoo_finance_bootstrap
2021-08-10,20.3220005,20.43000031,19.83499908,19.93600082,179238000,0,1,19.56111471,yahoo_finance_bootstrap
2021-08-11,20.04299927,20.04899979,19.43000031,19.6989994,185925000,0,1,19.32856998,yahoo_finance_bootstrap
