date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-08-02,191.30000305,195.30999756,191.00999451,192.36000061,964700,0,1,192.36000061,yahoo_finance_raw
2021-08-03,193,195.32000732,189.31300354,195.17999268,680800,0,1,195.17999268,yahoo_finance_raw
2021-08-04,195.44000244,197.24000549,193.33000183,193.88000488,1320600,0,1,193.88000488,yahoo_finance_raw
2021-08-05,197.5,201.46000671,193.36000061,194.75999451,1465400,0,1,194.75999451,yahoo_finance_raw
2021-08-06,194.44999695,198,194.02999878,195.02000427,701800,0,1,195.02000427,yahoo_finance_raw
2021-08-09,194.33000183,194.94999695,191.04499817,193.61999512,663700,0,1,193.61999512,yahoo_finance_raw
2021-08-10,193.6000061,194.42999268,190.33000183,190.80999756,661800,0,1,190.80999756,yahoo_finance_raw
2021-08-11,191.19999695,192,187.30000305,189.72999573,866000,0,1,189.72999573,yahoo_finance_raw
2021-08-12,189.61999512,189.61999512,186.33000183,188.13000488,654900,0,1,188.13000488,yahoo_finance_raw
2021-08-13,188,188.72999573,186.71000671,188.36000061,490700,0,1,188.36000061,yahoo_finance_raw
2021-08-16,186.72000122,188.25,185.61999512,187.57000732,550600,0,1,187.57000732,yahoo_finance_raw
2021-08-17,185.75999451,186.11999512,181.63999939,183.46000671,806100,0,1,183.46000671,yahoo_finance_raw
2021-08-18,181.80000305,183.3999939,179.53999329,179.82000732,696100,0,1,179.82000732,yahoo_finance_raw
2021-08-19,178.30000305,181.97000122,177.6000061,180.13000488,954100,0,1,180.13000488,yahoo_finance_raw
2021-08-20,180.38999939,182.69000244,180.10499573,181.55999756,607000,0,1,181.55999756,yahoo_finance_raw
2021-08-23,182.97000122,184.71000671,180.80999756,184.22999573,775700,0,1,184.22999573,yahoo_finance_raw
2021-08-24,185.97000122,186.11500549,183.5,184.80000305,654900,0,1,184.80000305,yahoo_finance_raw
2021-08-25,185.25,187.07000732,184.69999695,185.61999512,520300,0,1,185.61999512,yahoo_finance_raw
2021-08-26,185.61999512,186.8500061,184.5,185.86999512,503500,0,1,185.86999512,yahoo_finance_raw
2021-08-27,186.27999878,191.41000366,185.92999268,190.72999573,736100,0,1,190.72999573,yahoo_finance_raw
2021-08-30,191.72000122,192.91999817,190.00999451,190.83000183,638700,0,1,190.83000183,yahoo_finance_raw
2021-08-31,190,190.19999695,187.25,188.02999878,842800,0,1,188.02999878,yahoo_finance_raw
2021-09-01,190.05999756,190.05999756,185.94999695,186.05999756,758800,0,1,186.05999756,yahoo_finance_raw
2021-09-02,186.72000122,187.69000244,185.13999939,185.8999939,696600,0,1,185.8999939,yahoo_finance_raw
2021-09-03,185.8999939,188.02999878,185.27999878,185.36000061,947700,0,1,185.36000061,yahoo_finance_raw
2021-09-07,185.16000366,185.79499817,181.58999634,182.67999268,942900,0,1,182.67999268,yahoo_finance_raw
2021-09-08,182.05000305,182.05000305,176.28999329,178.75999451,1246900,0,1,178.75999451,yahoo_finance_raw
2021-09-09,178.77000427,181.08999634,178.36500549,178.96000671,660400,0,1,178.96000671,yahoo_finance_raw
2021-09-10,180.30000305,182.05999756,179.08000183,179.30000305,983900,0,1,179.30000305,yahoo_finance_raw
2021-09-13,179.88000488,182.41999817,178.77000427,182.36999512,950200,0,1,182.36999512,yahoo_finance_raw
2021-09-14,183.47000122,183.55000305,179.72999573,182.13000488,751300,0,1,182.13000488,yahoo_finance_raw
