date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-08-02,667.98999023,670.79998779,657.47998047,657.77001953,291500,0,1,657.77001953,yahoo_finance_raw
2021-08-03,658.16998291,662.64001465,649.16998291,660.97998047,247800,0,1,660.97998047,yahoo_finance_raw
2021-08-04,661.84997559,694.98999023,658.98999023,676.08001709,447900,0,1,676.08001709,yahoo_finance_raw
2021-08-05,678,688.48999023,674.61999512,679.97998047,223800,0,1,679.97998047,yahoo_finance_raw
2021-08-06,687.70001221,695.28997803,673.4699707,674.98999023,252500,0,1,674.98999023,yahoo_finance_raw
2021-08-09,675.01000977,700.73999023,670.84002686,688.84002686,390000,0,1,688.84002686,yahoo_finance_raw
2021-08-10,689.47998047,724.88000488,689.47998047,719.70001221,483600,0,1,719.70001221,yahoo_finance_raw
2021-08-11,721.21002197,741.58001709,717.48999023,733.44000244,539900,0,1,733.44000244,yahoo_finance_raw
2021-08-12,733.80999756,744.55999756,725,738.52001953,324200,0,1,738.52001953,yahoo_finance_raw
2021-08-13,740,740.25,710.15997314,722.94000244,406200,0,1,722.94000244,yahoo_finance_raw
2021-08-16,712,718.90997314,697.02001953,714.97998047,240800,0,1,714.97998047,yahoo_finance_raw
2021-08-17,704.4699707,704.4699707,676.38000488,688.0300293,439400,0,1,688.0300293,yahoo_finance_raw
2021-08-18,688,700.17999268,681.27001953,683.7199707,313700,0,1,683.7199707,yahoo_finance_raw
2021-08-19,673.4699707,683.38000488,666,673.34002686,309400,0,1,673.34002686,yahoo_finance_raw
2021-08-20,677.89001465,691.97998047,664.76000977,690.84002686,329300,0,1,690.84002686,yahoo_finance_raw
2021-08-23,695.70001221,701.95001221,691.34997559,693.73999023,224800,0,1,693.73999023,yahoo_finance_raw
2021-08-24,698.01000977,708,693.2199707,701.29998779,170300,0,1,701.29998779,yahoo_finance_raw
2021-08-25,703.54998779,711.41998291,691.16998291,708.26000977,314000,0,1,708.26000977,yahoo_finance_raw
2021-08-26,726.80999756,726.80999756,697.52001953,709.5,409700,0,1,709.5,yahoo_finance_raw
2021-08-27,708.97998047,716.20001221,702.9699707,706.53997803,243800,0,1,706.53997803,yahoo_finance_raw
2021-08-30,711.47998047,730.5300293,709.30999756,716.75,366200,0,1,716.75,yahoo_finance_raw
2021-08-31,711.95001221,712.04998779,692.41998291,700.66998291,369700,0,1,700.66998291,yahoo_finance_raw
2021-09-01,701.29998779,710.53997803,699.03997803,704.69000244,271000,0,1,704.69000244,yahoo_finance_raw
2021-09-02,707,711.67999268,668.71002197,672,881700,0,1,672,yahoo_finance_raw
2021-09-03,672,684.77001953,660,678.63000488,445900,0,1,678.63000488,yahoo_finance_raw
2021-09-07,683.70001221,686,663.0300293,664.26000977,430300,0,1,664.26000977,yahoo_finance_raw
2021-09-08,665.01000977,673.7199707,647.98999023,672.65002441,1116900,0,1,672.65002441,yahoo_finance_raw
2021-09-09,706.2800293,733.98999023,692.01000977,725,2014400,0,1,725,yahoo_finance_raw
2021-09-10,721.32000732,733.09997559,692.53997803,694.4699707,801900,0,1,694.4699707,yahoo_finance_raw
2021-09-13,692.23999023,705,680.47998047,700.95001221,427500,0,1,700.95001221,yahoo_finance_raw
2021-09-14,700.01000977,706.90002441,690.09997559,690.94000244,323400,0,1,690.94000244,yahoo_finance_raw
2021-09-15,686.35998535,694.58001709,674.01000977,684.98999023,504000,0,1,684.98999023,yahoo_finance_raw
2021-09-16,681.09997559,691.41998291,673.94000244,685.44000244,437300,0,1,685.44000244,yahoo_finance_raw
2021-09-17,680,681.82000732,669.91998291,672.15002441,535800,0,1,672.15002441,yahoo_finance_raw
2021-09-20,661.64001465,674.7800293,655.96002197,667.25,489200,0,1,667.25,yahoo_finance_raw
2021-09-21,675,682.2800293,656.01000977,673.65997314,458300,0,1,673.65997314,yahoo_finance_raw
2021-09-22,675.7800293,694.46002197,672.26000977,685.36999512,382700,0,1,685.36999512,yahoo_finance_raw
2021-09-23,694.40997314,706.65002441,683.76000977,686.21002197,330400,0,1,686.21002197,yahoo_finance_raw
2021-09-24,679,695.63000488,674.01000977,686.67999268,273700,0,1,686.67999268,yahoo_finance_raw
2021-09-27,683.0300293,708.58001709,683.0300293,704.52001953,366000,0,1,704.52001953,yahoo_finance_raw
2021-09-28,695.9699707,700.63000488,682.70001221,683.76000977,1057800,0,1,683.76000977,yahoo_finance_raw
2021-09-29,688.88000488,696.47998047,677.26000977,695.02001953,406800,0,1,695.02001953,yahoo_finance_raw
2021-09-30,686.94000244,688.69000244,661.39001465,666.90997314,978300,0,1,666.90997314,yahoo_finance_raw
2021-10-01,665,667.04998779,641,646.45001221,839400,0,1,646.45001221,yahoo_finance_raw
2021-10-04,646.97998047,648.32000732,620,631.70001221,732200,0,1,631.70001221,yahoo_finance_raw
2021-10-05,637.45001221,648.88000488,631.21002197,635.5,362000,0,1,635.5,yahoo_finance_raw
2021-10-06,632.07000732,637.15997314,622.46002197,630.01000977,370500,0,1,630.01000977,yahoo_finance_raw
2021-10-07,643.21002197,657.89001465,640.70001221,652.47998047,492400,0,1,652.47998047,yahoo_finance_raw
2021-10-08,645.61999512,652,636.09997559,646.80999756,307600,0,1,646.80999756,yahoo_finance_raw
2021-10-11,645.29998779,651,638.05999756,638.05999756,217900,0,1,638.05999756,yahoo_finance_raw
2021-10-12,642.22998047,649.05999756,636.71002197,645.59002686,323300,0,1,645.59002686,yahoo_finance_raw
2021-10-13,645.2800293,645.97998047,632.29998779,638.61999512,290800,0,1,638.61999512,yahoo_finance_raw
2021-10-14,638.5,656.4699707,637.25,653.5300293,355800,0,1,653.5300293,yahoo_finance_raw
2021-10-15,657.70001221,673.90997314,654.92999268,659.07000732,448100,0,1,659.07000732,yahoo_finance_raw
2021-10-18,657.42999268,698.75,657.40002441,689.63000488,667300,0,1,689.63000488,yahoo_finance_raw
2021-10-19,688.42999268,699.14001465,673.59997559,674.97998047,323900,0,1,674.97998047,yahoo_finance_raw
2021-10-20,675,687.88000488,675,678.4699707,250200,0,1,678.4699707,yahoo_finance_raw
2021-10-21,672.95001221,681.03997803,665.66998291,672.40997314,239100,0,1,672.40997314,yahoo_finance_raw
2021-10-22,668.86999512,673.64001465,659.84997559,667.57000732,290500,0,1,667.57000732,yahoo_finance_raw
