date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-08-02,153.76333618,155.16667175,152.88999939,153.2666626,2864100,0,1,147.19574889,yahoo_finance_raw
2021-08-03,153.60667419,154.43333435,151.80999756,154.43333435,1769100,0,1,148.31620861,yahoo_finance_raw
2021-08-04,154.7333374,156.75666809,154.50332642,156.00666809,1626000,0,1,149.82722239,yahoo_finance_raw
2021-08-05,156.75666809,157.12666321,155.14666748,156.03334045,1420200,0,1,149.85283825,yahoo_finance_raw
2021-08-06,155.1166687,156.03666687,154.8500061,155.25666809,1233000,0,1,149.10692999,yahoo_finance_raw
2021-08-09,155.8833313,155.97332764,154.07666016,154.72999573,1065900,0,1,148.60111919,yahoo_finance_raw
2021-08-10,154.96000671,155.22666931,151.81666565,152.93333435,2695500,0,1,146.87562382,yahoo_finance_raw
2021-08-11,153.3500061,153.56333923,150.61999512,152.41000366,1296900,0,1,146.37302233,yahoo_finance_raw
2021-08-12,151.91000366,151.91000366,149.52333069,150.77333069,1531500,0,1,144.8011782,yahoo_finance_raw
2021-08-13,150.42666626,151.74333191,150.29666138,151.72000122,1060200,0,1,145.71035098,yahoo_finance_raw
2021-08-16,151.14666748,151.54666138,149.88999939,151.15666199,1143900,0,1,145.1693257,yahoo_finance_raw
2021-08-17,149.8999939,149.8999939,146.84333801,148.22999573,1850700,0,1,142.35858509,yahoo_finance_raw
2021-08-18,148.02333069,148.92999268,146.07666016,146.27000427,1879200,0,1,140.47622917,yahoo_finance_raw
2021-08-19,145.35333252,148.27667236,144.22666931,147.47000122,2175600,0,1,141.62869407,yahoo_finance_raw
2021-08-20,147.86332703,148.83999634,146.80667114,148.57666016,1798200,0,1,142.6915181,yahoo_finance_raw
2021-08-23,150.11999512,152.96333313,150.11999512,152.75999451,2181000,0,1,146.70915,yahoo_finance_raw
2021-08-24,153.19999695,153.66667175,152.49667358,152.75999451,1662900,0,1,146.70915,yahoo_finance_raw
2021-08-25,153.36332703,155.05999756,153.27667236,153.92333984,2274300,0,1,147.82641506,yahoo_finance_raw
2021-08-26,153.74000549,154.66667175,152.80667114,154.06666565,2284500,0,1,147.96406371,yahoo_finance_raw
2021-08-27,154.15333557,157.19332886,153.93666077,157.00666809,2404500,0,1,150.78761225,yahoo_finance_raw
2021-08-30,157.64666748,158.84333801,156.75666809,157.32000732,2519400,0,1,151.08854007,yahoo_finance_raw
2021-08-31,157.49000549,157.69999695,154.84666443,156.06333923,2107800,0,1,149.88164877,yahoo_finance_raw
2021-09-01,156.84666443,157.00332642,155.21333313,155.21333313,1632600,0,1,149.06531153,yahoo_finance_raw
2021-09-02,155.94999695,156.27333069,155.19000244,155.79333496,1501500,0,1,149.62233941,yahoo_finance_raw
2021-09-03,155.82000732,157.57000732,155.47332764,156.96000671,1356000,0,1,150.74279913,yahoo_finance_raw
2021-09-07,157.03999329,157.04666138,155.45666504,156.3833313,1640700,0,1,150.18896591,yahoo_finance_raw
2021-09-08,155.66667175,155.82666016,153.03334045,154.38000488,3087900,0,1,148.26499153,yahoo_finance_raw
2021-09-09,154.27667236,155.83999634,154.18333435,154.92333984,3921000,0,1,148.78680492,yahoo_finance_raw
2021-09-10,156.19667053,158.52667236,156.13999939,156.15333557,2959200,0,1,149.96808035,yahoo_finance_raw
2021-09-13,157.72666931,157.97666931,155.5166626,157.6499939,2835900,0,1,151.40545583,yahoo_finance_raw
2021-09-14,158.05332947,158.85333252,156.93666077,157.65666199,2581500,0,1,151.4118598,yahoo_finance_raw
2021-09-15,157.77999878,158.56666565,156.44332886,158.56333923,3770400,0,1,152.28262343,yahoo_finance_raw
2021-09-16,157.41667175,159.39666748,156.76333618,158.8666687,1655100,0,1,152.57393798,yahoo_finance_raw
2021-09-17,158.44667053,158.44667053,155.62666321,156.33332825,2426700,0,1,150.14094349,yahoo_finance_raw
2021-09-20,153,153.59333801,150.21665955,152.46333313,3124800,0,1,146.42423941,yahoo_finance_raw
2021-09-21,153.60333252,154.05999756,151.52333069,152.91333008,2214000,0,1,146.85641192,yahoo_finance_raw
2021-09-22,154.1166687,156.44667053,153.55332947,156.08666992,1309200,0,1,149.90405533,yahoo_finance_raw
2021-09-23,156.82666016,158.66667175,156.26333618,158.16667175,2407200,0,1,151.901668,yahoo_finance_raw
2021-09-24,156.58332825,157.93666077,156.33332825,157.6000061,1191900,0.385667,1,151.72741384,yahoo_finance_raw
2021-09-27,155.91333008,157.83332825,154.99000549,157.21665955,1339800,0,1,151.35835179,yahoo_finance_raw
2021-09-28,154.24667358,155.14332581,151.06666565,151.06666565,5448000,0,1,145.4375229,yahoo_finance_raw
2021-09-29,151.40333557,151.84666443,148.39332581,148.68333435,6776400,0,1,143.14300082,yahoo_finance_raw
2021-09-30,150.09333801,151.07333374,148.58332825,148.62333679,4524900,0,1,143.08523892,yahoo_finance_raw
2021-10-01,149.21333313,149.49333191,146.27667236,148.72000122,3114900,0,1,143.17830138,yahoo_finance_raw
2021-10-04,147.94999695,148.03999329,144.44667053,144.88999939,4161900,0,1,139.49101553,yahoo_finance_raw
2021-10-05,145.58332825,148.10333252,145.33999634,147.08332825,3156000,0,1,141.60261517,yahoo_finance_raw
2021-10-06,145.44667053,147.77000427,144.94332886,147.65666199,3410700,0,1,142.15458498,yahoo_finance_raw
2021-10-07,149.56333923,151.36332703,149.19332886,149.3833313,1913400,0,1,143.81691403,yahoo_finance_raw
2021-10-08,149.91999817,150.11332703,147.7333374,147.85333252,1672200,0,1,142.34392705,yahoo_finance_raw
2021-10-11,147.2666626,149.35333252,146.80999756,146.86332703,1532100,0,1,141.39081177,yahoo_finance_raw
2021-10-12,147.78999329,148.00666809,144.41999817,145.02999878,3201900,0,1,139.62579817,yahoo_finance_raw
2021-10-13,146.08000183,146.77333069,145.38999939,145.8666687,1756500,0,1,140.43129157,yahoo_finance_raw
2021-10-14,148.55667114,150.40666199,148.14332581,150.39332581,2486100,0,1,144.78927348,yahoo_finance_raw
2021-10-15,151.49667358,151.8500061,150.63000488,151.39666748,1639500,0,1,145.75522799,yahoo_finance_raw
2021-10-18,150.49667358,152.66667175,149.6333313,152.6166687,1352700,0,1,146.92976875,yahoo_finance_raw
2021-10-19,152.96665955,154.48666382,152.27000427,154.48666382,1394100,0,1,148.73008291,yahoo_finance_raw
2021-10-20,153.92999268,154.77000427,153.5,154.16667175,1261500,0,1,148.42201459,yahoo_finance_raw
2021-10-21,153.17666626,155.91999817,153.10667419,155.72000122,1303200,0,1,149.9174629,yahoo_finance_raw
2021-10-22,154.8999939,156.5,153.70666504,153.97332764,3284400,0,1,148.23587499,yahoo_finance_raw
2021-10-25,154.75999451,155.91999817,154.19999695,155.02999878,1684800,0,1,149.25317178,yahoo_finance_raw
2021-10-26,156.24333191,156.80000305,154.6000061,155.14666748,1879200,0,1,149.36549309,yahoo_finance_raw
2021-10-27,154.20333862,155.83999634,153.48666382,154.03334045,3226200,0,1,148.29365157,yahoo_finance_raw
2021-10-28,156.08999634,157.6333313,155.80999756,157.50666809,3278100,0,1,151.63755385,yahoo_finance_raw
2021-10-29,156.17666626,158.22999573,156,158.21000671,2135700,0,1,152.31468422,yahoo_finance_raw
2021-11-01,158.3999939,160.82666016,158,160.78999329,2547300,0,1,154.79853369,yahoo_finance_raw
2021-11-02,160.70333862,162.79666138,160.70333862,162.78999329,2225400,0,1,156.72400841,yahoo_finance_raw
2021-11-03,163,164.8666687,162.36999512,164.66667175,2175000,0,1,158.53075687,yahoo_finance_raw
2021-11-04,166.52667236,170.97000122,165.61999512,170.20666504,4080900,0,1,163.86431539,yahoo_finance_raw
2021-11-05,171.2666626,173.41667175,170.38999939,172.09666443,4534800,0,1,165.68388841,yahoo_finance_raw
2021-11-08,173.16333008,175.55999756,172.53666687,174.42333984,2921400,0,1,167.92386575,yahoo_finance_raw
2021-11-09,176.16333008,176.36332703,172.54333496,174.42333984,2722800,0,1,167.92386575,yahoo_finance_raw
2021-11-10,171.1499939,173.49000549,168.54333496,169.27999878,3934200,0,1,162.97217916,yahoo_finance_raw
2021-11-11,172.08000183,173.27333069,170.75,172.86000061,2283000,0,1,166.41878067,yahoo_finance_raw
2021-11-12,173.46000671,175.37666321,172.50332642,174.55000305,1970400,0,1,168.04580916,yahoo_finance_raw
2021-11-15,175.85667419,175.85667419,172.62666321,174.41999817,2318100,0,1,167.9206486,yahoo_finance_raw
2021-11-16,173.6333313,177.35333252,173.42333984,177.03334045,2023200,0,1,170.43661085,yahoo_finance_raw
2021-11-17,177.12333679,177.12333679,174.94000244,175.80000305,1575600,0,1,169.24923086,yahoo_finance_raw
2021-11-18,178.99667358,179.63667297,177.03334045,178.74000549,1997100,0,1,172.07968105,yahoo_finance_raw
2021-11-19,178.7666626,180.44999695,177.87666321,179.23666382,3405900,0,1,172.55783258,yahoo_finance_raw
2021-11-22,180.2666626,182.70666504,176.3999939,176.63999939,4422600,0,1,170.05792672,yahoo_finance_raw
2021-11-23,176.44999695,177.63667297,172.97332764,175.92999268,2422800,0,1,169.37437673,yahoo_finance_raw
2021-11-24,174.55000305,177.95333862,172.80332947,177.86332703,2117100,0,1,171.23566994,yahoo_finance_raw
2021-11-26,174.50666809,176.08666992,171.63999939,172.91333008,2448000,0,1,166.47012294,yahoo_finance_raw
2021-11-29,175.47666931,179.96000671,174.81666565,179.55999756,2412300,0,1,172.86911805,yahoo_finance_raw
2021-11-30,178.85333252,180.52999878,174.90666199,176.41333008,3264300,0,1,169.8397037,yahoo_finance_raw
2021-12-01,179,182.16000366,174.99333191,175.00332642,3112500,0,1,168.4822405,yahoo_finance_raw
2021-12-02,173.19999695,176.47666931,171.87666321,175.25666809,3124500,0,1,168.72614199,yahoo_finance_raw
2021-12-03,177.73666382,179.49667358,172.8500061,174.81333923,2490900,0,1,168.29933274,yahoo_finance_raw
2021-12-06,174.47332764,175.12333679,169.12666321,174.58999634,2091600,0,1,168.08431219,yahoo_finance_raw
2021-12-07,178.49333191,183.75999451,178.49333191,183.3999939,2692200,0,1,176.56602599,yahoo_finance_raw
2021-12-08,182.42666626,182.58666992,180.32666016,182.20666504,1666500,0,1,175.41716371,yahoo_finance_raw
2021-12-09,181.13000488,182.93666077,177.86000061,178.0166626,1674000,0,1,171.38329182,yahoo_finance_raw
2021-12-10,181.33666992,182.19999695,177.47332764,179.69667053,2020500,0,1,173.00069822,yahoo_finance_raw
2021-12-13,180.11332703,180.19332886,174.32000732,174.62666321,2286600,0.291,1,168.39230652,yahoo_finance_raw
2021-12-14,172.4833374,174.70333862,171.52333069,173.78666687,2888100,0,1,167.58229894,yahoo_finance_raw
2021-12-15,174.13999939,180.33000183,171.80000305,180.16667175,2344200,0,1,173.73453089,yahoo_finance_raw
2021-12-16,180.8999939,181.41000366,171.27333069,172.30667114,2797800,0,1,166.15514062,yahoo_finance_raw
2021-12-17,170.61000061,174.63999939,170.03999329,171.8999939,2702100,0,1,165.76298219,yahoo_finance_raw
2021-12-20,169.3999939,171.8833313,168.69332886,170.55332947,2145900,0,1,164.46439511,yahoo_finance_raw
2021-12-21,174.39666748,176.78999329,172.01333618,176.70666504,1624200,0,1,170.39805008,yahoo_finance_raw
2021-12-22,175.79666138,178.54333496,174.8833313,178.54333496,2134800,0,1,172.16914894,yahoo_finance_raw
2021-12-23,178.8999939,181.43666077,178.89666748,180.27000427,2100300,0,1,173.83417433,yahoo_finance_raw
2021-12-27,180.92999268,185.25,180.88667297,185.21000671,2503500,0,1,178.59781346,yahoo_finance_raw
2021-12-28,186.06666565,186.09333801,182.32000732,183.16667175,1974900,0,1,176.62742772,yahoo_finance_raw
2021-12-29,183.09666443,184.59333801,182.32333374,183.44667053,1254900,0,1,176.89743025,yahoo_finance_raw
2021-12-30,183.00332642,183.76333618,180.75666809,181.32000732,1361700,0.051667,1,174.89594989,yahoo_finance_raw
2021-12-31,181.50666809,182.71333313,180.75332642,180.77333069,1217400,0,1,174.36864168,yahoo_finance_raw
