date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2026-06-12,150,176.52000427,149.33999634,160.94999695,519234800,0,1,160.94999695,yahoo_finance_raw
2026-06-15,171.74000549,193,168.3500061,192.5,256226600,0,1,192.5,yahoo_finance_raw
2026-06-16,200.50999451,225.63999939,199.97999573,211.38999939,195401600,0,1,211.38999939,yahoo_finance_raw
2026-06-17,209.83999634,213.80000305,187.00999451,191.82000732,201719500,0,1,191.82000732,yahoo_finance_raw
2026-06-18,188.38999939,190,172.11000061,185,272126800,0,1,185,yahoo_finance_raw
2026-06-22,176.03999329,176.75,154,154.6000061,169183800,0,1,154.6000061,yahoo_finance_raw
2026-06-23,151.05999756,165.5,147.11000061,156.11000061,155848100,0,1,156.11000061,yahoo_finance_raw
2026-06-24,154.19999695,159.86000061,150.72000122,154.53999329,76101500,0,1,154.53999329,yahoo_finance_raw
2026-06-25,156.63000488,160.6499939,150,153,62212400,0,1,153,yahoo_finance_raw
2026-06-26,150.61999512,158.3999939,148.50999451,153.22999573,126932900,0,1,153.22999573,yahoo_finance_raw
2026-06-29,157.36000061,166.16999817,151.74000549,164.19000244,81443100,0,1,164.19000244,yahoo_finance_raw
2026-06-30,163.38000488,172.3999939,161.63999939,170.86000061,82047500,0,1,170.86000061,yahoo_finance_raw
2026-07-01,171.57000732,171.74000549,155,157.53999329,109317600,0,1,157.53999329,yahoo_finance_raw
2026-07-02,159.72999573,162.16000366,155.88000488,162,61257100,0,1,162,yahoo_finance_raw
2026-07-06,165.94999695,167.8999939,155.03999329,160.41999817,188831300,0,1,160.41999817,yahoo_finance_raw
2026-07-07,158.91999817,159.30000305,148.86000061,149.47000122,83779700,0,1,149.47000122,yahoo_finance_raw
2026-07-08,152.55000305,152.92999268,145.19999695,148.30000305,60949400,0,1,148.30000305,yahoo_finance_raw
2026-07-09,150.44999695,153.5,147.58999634,152.16000366,46468600,0,1,152.16000366,yahoo_finance_raw
2026-07-10,150.13000488,150.57000732,145.07000732,145.30000305,46826000,0,1,145.30000305,yahoo_finance_raw
2026-07-13,144.69999695,144.91999817,136.77999878,139.13999939,71456500,0,1,139.13999939,yahoo_finance_raw
2026-07-14,140.94999695,143.33000183,135.52000427,136.08000183,46694800,0,1,136.08000183,yahoo_finance_raw
2026-07-15,137.50999451,139.33999634,132.1499939,135.27000427,58040900,0,1,135.27000427,yahoo_finance_raw
2026-07-16,135.00999451,137.75999451,130.74000549,131.11000061,58725600,0,1,131.11000061,yahoo_finance_raw
2026-07-17,127.43000031,130.33000183,122.12000275,123.98999786,83706200,0,1,123.98999786,yahoo_finance_raw
2026-07-20,125.29000092,125.69999695,119.68000031,119.84999847,57337300,0,1,119.84999847,yahoo_finance_raw
2026-07-21,122.11000061,129.88000488,120.36000061,123.54000092,79718100,0,1,123.54000092,yahoo_finance_raw
2026-07-22,123.29000092,124.76999664,115.19000244,115.26000214,92731800,0,1,115.26000214,yahoo_finance_raw
2026-07-23,115.20999908,118.55000305,110.84999847,118.23999786,75246500,0,1,118.23999786,yahoo_finance_raw
2026-07-24,116.01000214,117,111.40000153,115.06999969,56786100,0,1,115.06999969,yahoo_finance_raw
2026-07-27,113.5,114.84999847,108.66000366,113.5,64540700,0,1,113.5,yahoo_finance_raw
2026-07-28,109.31999969,118.12999725,107.01000214,116.41000366,81714300,0,1,116.41000366,yahoo_finance_raw
2026-07-29,114.40000153,117.58999634,110.34999847,112.55000305,53995200,0,1,112.55000305,yahoo_finance_raw
2026-07-30,115.13999939,118.93000031,111.34999847,112.19999695,56008000,0,1,112.19999695,yahoo_finance_raw
2026-07-31,113.09999847,113.63999939,107.56999969,108.37000275,58835700,0,1,108.37000275,yahoo_finance_raw
2026-08-03,106.40000153,114.91999817,104.83000183,114.52999878,70524000,0,1,114.52999878,yahoo_finance_raw
2026-08-04,117.33000183,126.70999908,115.72000122,125.33000183,144130100,0,1,125.33000183,yahoo_finance_raw
2026-08-05,112.37000275,117.5,106.66000366,108.26999664,208488400,0,1,108.26999664,yahoo_finance_raw
2026-08-06,107.08999634,115.75,105.11000061,114.91999817,255176600,0,1,114.91999817,yahoo_finance_raw
2026-08-07,114.97000122,133.47999573,114.52999878,133.11000061,242130700,0,1,133.11000061,yahoo_finance_raw
2026-08-10,134.94999695,139.25999451,130.16999817,138.74000549,169934300,0,1,138.74000549,yahoo_finance_raw
2026-08-11,138.66000366,139.97999573,130.5,133.28999329,108900600,0,1,133.28999329,yahoo_finance_raw
2026-08-12,135.05000305,149.6000061,134.00999451,146.1499939,167236400,0,1,146.1499939,yahoo_finance_raw
2026-08-13,143.75,145.05000305,139.75999451,141.28999329,120282200,0,1,141.28999329,yahoo_finance_raw
2026-08-14,142.8999939,144.02000427,135.5,140,96727800,0,1,140,yahoo_finance_raw
2026-08-17,139.97999573,149.80000305,139.58000183,146.22999573,116675400,0,1,146.22999573,yahoo_finance_raw
2026-08-18,140.72999573,146.46000671,139.41000366,143.33999634,84191000,0,1,143.33999634,yahoo_finance_raw
2026-08-19,144.96000671,145.00999451,136.72000122,139.6499939,72530259,0,1,139.6499939,yahoo_finance_raw
