date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-08-16,235.02333069,236.5,225.46665955,228.72332764,68032200,0,1,228.72332764,yahoo_finance_raw
2021-08-17,224.22000122,224.86000061,216.27999878,221.90333557,71163900,0,1,221.90333557,yahoo_finance_raw
2021-08-18,223.25,231.92333984,223.1166687,229.66333008,61048200,0,1,229.66333008,yahoo_finance_raw
2021-08-19,226.07000732,228.8500061,222.52999878,224.49000549,42940500,0,1,224.49000549,yahoo_finance_raw
2021-08-20,227.6166687,230.71000671,224.56666565,226.75332642,44525700,0,1,226.75332642,yahoo_finance_raw
2021-08-23,228.47999573,237.37666321,226.91667175,235.43333435,60794700,0,1,235.43333435,yahoo_finance_raw
2021-08-24,236.89332581,238.40666199,234.21333313,236.16333008,39249300,0,1,236.16333008,yahoo_finance_raw
2021-08-25,235.67666626,238.99000549,234.66667175,237.06666565,37936800,0,1,237.06666565,yahoo_finance_raw
2021-08-26,236.10333252,238.46665955,232.53999329,233.72000122,39642900,0,1,233.72000122,yahoo_finance_raw
2021-08-27,235,238.33332825,234.03334045,237.30667114,41501400,0,1,237.30667114,yahoo_finance_raw
2021-08-30,238.24000549,243.66667175,237.57666016,243.63667297,55812600,0,1,243.63667297,yahoo_finance_raw
2021-08-31,244.33332825,246.79666138,242.14666748,245.24000549,62566200,0,1,245.24000549,yahoo_finance_raw
2021-09-01,244.69332886,247.33000183,243.75666809,244.69667053,39612900,0,1,244.69667053,yahoo_finance_raw
2021-09-02,244.83332825,246.99000549,243.51333618,244.13000488,38331900,0,1,244.13000488,yahoo_finance_raw
2021-09-03,244.08332825,244.66667175,241.3999939,244.52333069,45738300,0,1,244.52333069,yahoo_finance_raw
2021-09-07,246.66667175,253.3999939,246.41999817,250.97332764,60119400,0,1,250.97332764,yahoo_finance_raw
2021-09-08,253.86000061,254.81666565,246.92333984,251.28999329,56379000,0,1,251.28999329,yahoo_finance_raw
