date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-07-30,1.88800001,1.90699995,1.88600004,1.89699996,0,0,1,1.89699996,yahoo_finance_raw
2021-08-02,1.91199994,1.91299999,1.83099997,1.85300004,0,0,1,1.85300004,yahoo_finance_raw
2021-08-03,1.84899998,1.85699999,1.829,1.852,0,0,1,1.852,yahoo_finance_raw
2021-08-04,1.84300005,1.87899995,1.81099999,1.84000003,0,0,1,1.84000003,yahoo_finance_raw
2021-08-05,1.83099997,1.87100005,1.82799995,1.86300004,0,0,1,1.86300004,yahoo_finance_raw
2021-08-06,1.898,1.94599998,1.89199996,1.93400002,0,0,1,1.93400002,yahoo_finance_raw
2021-08-09,1.93299997,1.96599996,1.92200005,1.96300006,0,0,1,1.96300006,yahoo_finance_raw
2021-08-10,1.95899999,1.99000001,1.95299995,1.98399997,0,0,1,1.98399997,yahoo_finance_raw
2021-08-11,2.00900006,2.0309999,1.97000003,1.99699998,0,0,1,1.99699998,yahoo_finance_raw
2021-08-12,2.00900006,2.03399992,1.99899995,2.01300001,0,0,1,2.01300001,yahoo_finance_raw
2021-08-13,2.0079999,2.01300001,1.94400001,1.94799995,0,0,1,1.94799995,yahoo_finance_raw
2021-08-16,1.93200004,1.94099998,1.88699996,1.92400002,0,0,1,1.92400002,yahoo_finance_raw
2021-08-17,1.89600003,1.93599999,1.89199996,1.91900003,0,0,1,1.91900003,yahoo_finance_raw
2021-08-18,1.93799996,1.93900001,1.90499997,1.91400003,0,0,1,1.91400003,yahoo_finance_raw
2021-08-19,1.87,1.89199996,1.86399996,1.87600005,0,0,1,1.87600005,yahoo_finance_raw
2021-08-20,1.85599995,1.88199997,1.85300004,1.87399995,0,0,1,1.87399995,yahoo_finance_raw
2021-08-23,1.88499999,1.89199996,1.87199998,1.87199998,0,0,1,1.87199998,yahoo_finance_raw
2021-08-24,1.88699996,1.90900004,1.88499999,1.90699995,0,0,1,1.90699995,yahoo_finance_raw
2021-08-25,1.92200005,1.96899998,1.90400004,1.95899999,0,0,1,1.95899999,yahoo_finance_raw
2021-08-26,1.96500003,1.977,1.93599999,1.94099998,0,0,1,1.94099998,yahoo_finance_raw
2021-08-27,1.93799996,1.94099998,1.91600001,1.91799998,0,0,1,1.91799998,yahoo_finance_raw
2021-08-30,1.926,1.92999995,1.89900005,1.89999998,0,0,1,1.89999998,yahoo_finance_raw
2021-08-31,1.90400004,1.93900001,1.88399994,1.92700005,0,0,1,1.92700005,yahoo_finance_raw
2021-09-01,1.93400002,1.94599998,1.90400004,1.91900003,0,0,1,1.91900003,yahoo_finance_raw
2021-09-02,1.90699995,1.92400002,1.903,1.90699995,0,0,1,1.90699995,yahoo_finance_raw
2021-09-03,1.90699995,1.954,1.88900006,1.94299996,0,0,1,1.94299996,yahoo_finance_raw
2021-09-07,1.97899997,1.99800003,1.96800005,1.98399997,0,0,1,1.98399997,yahoo_finance_raw
2021-09-08,1.95599997,1.972,1.94400001,1.95299995,0,0,1,1.95299995,yahoo_finance_raw
2021-09-09,1.95200002,1.95799994,1.88600004,1.89699996,0,0,1,1.89699996,yahoo_finance_raw
2021-09-10,1.91700006,1.94599998,1.90900004,1.93400002,0,0,1,1.93400002,yahoo_finance_raw
2021-09-13,1.91999996,1.91999996,1.89999998,1.90499997,0,0,1,1.90499997,yahoo_finance_raw
2021-09-14,1.921,1.94299996,1.83099997,1.85000002,0,0,1,1.85000002,yahoo_finance_raw
2021-09-15,1.83399999,1.88499999,1.82299995,1.86899996,0,0,1,1.86899996,yahoo_finance_raw
2021-09-16,1.87199998,1.898,1.86699998,1.88100004,0,0,1,1.88100004,yahoo_finance_raw
2021-09-17,1.88100004,1.92499995,1.87600005,1.90900004,0,0,1,1.90900004,yahoo_finance_raw
2021-09-20,1.84399998,1.87300003,1.83399999,1.84599996,0,0,1,1.84599996,yahoo_finance_raw
2021-09-21,1.86699998,1.87600005,1.84800005,1.85699999,0,0,1,1.85699999,yahoo_finance_raw
2021-09-22,1.86600006,1.86600006,1.83000004,1.85099995,0,0,1,1.85099995,yahoo_finance_raw
2021-09-23,1.83599997,1.93499994,1.83200002,1.92400002,0,0,1,1.92400002,yahoo_finance_raw
2021-09-24,1.93499994,1.99199998,1.93499994,1.98800004,0,0,1,1.98800004,yahoo_finance_raw
2021-09-27,2.01600003,2.04399991,1.98699999,1.995,0,0,1,1.995,yahoo_finance_raw
2021-09-28,2.06800008,2.10100007,2.05100012,2.06999993,0,0,1,2.06999993,yahoo_finance_raw
2021-09-29,2.0710001,2.0999999,2.03900003,2.08999991,0,0,1,2.08999991,yahoo_finance_raw
2021-09-30,2.08200002,2.10299993,2.07299995,2.09200001,0,0,1,2.09200001,yahoo_finance_raw
2021-10-01,2.05999994,2.07800007,2.04500008,2.05800009,0,0,1,2.05800009,yahoo_finance_raw
2021-10-04,2.06200004,2.08100009,2.03399992,2.04699993,0,0,1,2.04699993,yahoo_finance_raw
2021-10-05,2.05100012,2.10299993,2.05100012,2.09800005,0,0,1,2.09800005,yahoo_finance_raw
2021-10-06,2.10800004,2.10800004,2.05900002,2.07599998,0,0,1,2.07599998,yahoo_finance_raw
2021-10-07,2.08599997,2.13700008,2.08599997,2.13199997,0,0,1,2.13199997,yahoo_finance_raw
2021-10-08,2.13100004,2.17700005,2.125,2.16199994,0,0,1,2.16199994,yahoo_finance_raw
2021-10-11,2.16599989,2.16599989,2.16599989,2.16599989,0,0,1,2.16599989,yahoo_finance_raw
2021-10-12,2.13499999,2.14299989,2.0999999,2.10599995,0,0,1,2.10599995,yahoo_finance_raw
2021-10-13,2.06599998,2.0940001,2.0309999,2.04099989,0,0,1,2.04099989,yahoo_finance_raw
2021-10-14,2.03999996,2.05999994,2.0150001,2.0250001,0,0,1,2.0250001,yahoo_finance_raw
2021-10-15,2.04999995,2.06800008,2.03600001,2.05100012,0,0,1,2.05100012,yahoo_finance_raw
2021-10-18,2.03399992,2.05800009,2.00900006,2.01699996,0,0,1,2.01699996,yahoo_finance_raw
2021-10-19,2.05299997,2.08800006,2.05299997,2.08800006,0,0,1,2.08800006,yahoo_finance_raw
2021-10-20,2.07999992,2.13700008,2.07800007,2.11100006,0,0,1,2.11100006,yahoo_finance_raw
2021-10-21,2.1500001,2.1500001,2.11100006,2.12800002,0,0,1,2.12800002,yahoo_finance_raw
2021-10-22,2.12800002,2.13199997,2.06900001,2.09100008,0,0,1,2.09100008,yahoo_finance_raw
2021-10-25,2.10100007,2.12199998,2.07299995,2.08500004,0,0,1,2.08500004,yahoo_finance_raw
2021-10-26,2.06599998,2.09100008,2.0480001,2.05100012,0,0,1,2.05100012,yahoo_finance_raw
2021-10-27,2.00900006,2.0150001,1.93200004,1.94200003,0,0,1,1.94200003,yahoo_finance_raw
2021-10-28,1.94500005,1.97800004,1.92400002,1.96300006,0,0,1,1.96300006,yahoo_finance_raw
2021-10-29,2.00399995,2.00600004,1.93299997,1.94200003,0,0,1,1.94200003,yahoo_finance_raw
2021-11-01,1.97599995,1.99699998,1.96000004,1.96899998,0,0,1,1.96899998,yahoo_finance_raw
2021-11-02,1.96700001,1.98300004,1.93700004,1.96000004,0,0,1,1.96000004,yahoo_finance_raw
2021-11-03,1.94599998,2.00300002,1.92700005,1.98599994,0,0,1,1.98599994,yahoo_finance_raw
2021-11-04,2.00900006,2.0250001,1.949,1.96399999,0,0,1,1.96399999,yahoo_finance_raw
2021-11-05,1.95000005,1.96200001,1.88100004,1.88600004,0,0,1,1.88600004,yahoo_finance_raw
2021-11-08,1.90699995,1.91100001,1.88199997,1.88699996,0,0,1,1.88699996,yahoo_finance_raw
2021-11-09,1.85000002,1.85500002,1.79499996,1.82200003,0,0,1,1.82200003,yahoo_finance_raw
2021-11-10,1.83899999,1.98300004,1.81900001,1.91799998,0,0,1,1.91799998,yahoo_finance_raw
2021-11-11,1.91600001,1.91600001,1.91600001,1.91600001,0,0,1,1.91600001,yahoo_finance_raw
2021-11-12,1.92999995,1.96800005,1.90699995,1.95500004,0,0,1,1.95500004,yahoo_finance_raw
2021-11-15,1.93200004,2.01399994,1.92700005,2.00699997,0,0,1,2.00699997,yahoo_finance_raw
2021-11-16,1.98000002,2.023,1.977,2.01799989,0,0,1,2.01799989,yahoo_finance_raw
2021-11-17,2.03399992,2.04900002,1.99600005,1.99600005,0,0,1,1.99600005,yahoo_finance_raw
2021-11-18,1.98500001,1.99899995,1.96200001,1.972,0,0,1,1.972,yahoo_finance_raw
2021-11-19,1.93099999,1.95200002,1.90100002,1.90699995,0,0,1,1.90699995,yahoo_finance_raw
2021-11-22,1.94000006,1.97800004,1.92900002,1.97800004,0,0,1,1.97800004,yahoo_finance_raw
2021-11-23,2.00399995,2.023,1.98699999,2.023,0,0,1,2.023,yahoo_finance_raw
2021-11-24,2.0150001,2.03600001,1.96700001,1.96899998,0,0,1,1.96899998,yahoo_finance_raw
2021-11-26,1.89600003,1.90400004,1.82299995,1.82700002,0,0,1,1.82700002,yahoo_finance_raw
2021-11-29,1.89100003,1.90999997,1.85899997,1.88,0,0,1,1.88,yahoo_finance_raw
2021-11-30,1.82299995,1.84000003,1.77600002,1.78699994,0,0,1,1.78699994,yahoo_finance_raw
2021-12-01,1.82000005,1.84599996,1.77600002,1.778,0,0,1,1.778,yahoo_finance_raw
2021-12-02,1.75100005,1.78400004,1.73699999,1.76900005,0,0,1,1.76900005,yahoo_finance_raw
2021-12-03,1.75399995,1.79400003,1.67799997,1.67799997,0,0,1,1.67799997,yahoo_finance_raw
2021-12-06,1.71800005,1.76999998,1.69099998,1.75699997,0,0,1,1.75699997,yahoo_finance_raw
2021-12-07,1.77600002,1.796,1.75100005,1.796,0,0,1,1.796,yahoo_finance_raw
2021-12-08,1.81400001,1.88800001,1.81200004,1.875,0,0,1,1.875,yahoo_finance_raw
2021-12-09,1.85300004,1.89400005,1.84399998,1.86600006,0,0,1,1.86600006,yahoo_finance_raw
2021-12-10,1.875,1.88699996,1.83800006,1.88399994,0,0,1,1.88399994,yahoo_finance_raw
2021-12-13,1.85699999,1.85899997,1.801,1.81200004,0,0,1,1.81200004,yahoo_finance_raw
2021-12-14,1.82299995,1.86899996,1.80400002,1.81799996,0,0,1,1.81799996,yahoo_finance_raw
2021-12-15,1.83800006,1.86399996,1.82099998,1.85500002,0,0,1,1.85500002,yahoo_finance_raw
2021-12-16,1.89400005,1.90499997,1.84800005,1.86099994,0,0,1,1.86099994,yahoo_finance_raw
2021-12-17,1.829,1.83700001,1.80900002,1.81799996,0,0,1,1.81799996,yahoo_finance_raw
2021-12-20,1.81200004,1.852,1.80799997,1.84899998,0,0,1,1.84899998,yahoo_finance_raw
2021-12-21,1.87800002,1.92700005,1.87800002,1.89699996,0,0,1,1.89699996,yahoo_finance_raw
2021-12-22,1.88100004,1.88100004,1.85300004,1.85699999,0,0,1,1.85699999,yahoo_finance_raw
2021-12-23,1.87100005,1.91499996,1.85399997,1.90499997,0,0,1,1.90499997,yahoo_finance_raw
2021-12-27,1.89400005,1.90100002,1.87800002,1.88600004,0,0,1,1.88600004,yahoo_finance_raw
2021-12-28,1.88699996,1.91499996,1.85399997,1.903,0,0,1,1.903,yahoo_finance_raw
2021-12-29,1.926,1.97099996,1.926,1.95299995,0,0,1,1.95299995,yahoo_finance_raw
2021-12-30,1.94200003,1.96899998,1.92200005,1.92499995,0,0,1,1.92499995,yahoo_finance_raw
2021-12-31,1.91499996,1.93400002,1.88300002,1.90499997,0,0,1,1.90499997,yahoo_finance_raw
2022-01-03,1.91799998,2.0250001,1.91700006,2.01600003,0,0,1,2.01600003,yahoo_finance_raw
2022-01-04,2.04900002,2.10299993,2.0480001,2.0769999,0,0,1,2.0769999,yahoo_finance_raw
2022-01-05,2.05699992,2.10599995,2.05100012,2.08800006,0,0,1,2.08800006,yahoo_finance_raw
2022-01-06,2.11500001,2.12100005,2.08699989,2.09299994,0,0,1,2.09299994,yahoo_finance_raw
2022-01-07,2.09899998,2.1500001,2.08599997,2.11800003,0,0,1,2.11800003,yahoo_finance_raw
2022-01-10,2.12400007,2.15100002,2.10599995,2.1099999,0,0,1,2.1099999,yahoo_finance_raw
2022-01-11,2.07999992,2.10299993,2.07299995,2.07299995,0,0,1,2.07299995,yahoo_finance_raw
2022-01-12,2.06900001,2.08899999,2.04699993,2.07399988,0,0,1,2.07399988,yahoo_finance_raw
2022-01-13,2.07999992,2.08999991,2.05200005,2.05500007,0,0,1,2.05500007,yahoo_finance_raw
2022-01-14,2.0710001,2.1170001,2.05100012,2.11400008,0,0,1,2.11400008,yahoo_finance_raw
2022-01-18,2.14599991,2.19000006,2.13700008,2.18400002,0,0,1,2.18400002,yahoo_finance_raw
2022-01-19,2.171,2.19199991,2.13800001,2.13800001,0,0,1,2.13800001,yahoo_finance_raw
2022-01-20,2.14899993,2.16000009,2.13700008,2.1400001,0,0,1,2.1400001,yahoo_finance_raw
2022-01-21,2.0940001,2.10500002,2.05200005,2.06399989,0,0,1,2.06399989,yahoo_finance_raw
2022-01-24,2.0539999,2.08599997,2.03999996,2.08299994,0,0,1,2.08299994,yahoo_finance_raw
2022-01-25,2.12400007,2.13499999,2.06699991,2.12899995,0,0,1,2.12899995,yahoo_finance_raw
2022-01-26,2.12700009,2.17400002,2.10800004,2.16700006,0,0,1,2.16700006,yahoo_finance_raw
