date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-08-02,247.92999268,280.875,247.00999451,272.38000488,45730600,0,1,272.38000488,yahoo_finance_raw
2021-08-03,270.42999268,274.95001221,261.75,269.48999023,21445100,0,1,269.48999023,yahoo_finance_raw
2021-08-04,268,268.39001465,261,266.42001343,10241400,0,1,266.42001343,yahoo_finance_raw
2021-08-05,265.6000061,289.23001099,264.76998901,281.80999756,19413700,0,1,281.80999756,yahoo_finance_raw
2021-08-06,279.51000977,285.85998535,273.1000061,275.1000061,9490700,0,1,275.1000061,yahoo_finance_raw
2021-08-09,272.98999023,286.51998901,270.63000488,279.73001099,10561700,0,1,279.73001099,yahoo_finance_raw
2021-08-10,280.01000977,283.58999634,272.64001465,273.07998657,6694800,0,1,273.07998657,yahoo_finance_raw
2021-08-11,277.76000977,281.33999634,269.61499023,271.08999634,8018200,0,1,271.08999634,yahoo_finance_raw
2021-08-12,270.45001221,272.83999634,265.54998779,268.58999634,5208800,0,1,268.58999634,yahoo_finance_raw
2021-08-13,269.95001221,271.91000366,266.45999146,267.88000488,4267500,0,1,267.88000488,yahoo_finance_raw
2021-08-16,266.3500061,267.38000488,257.6000061,263.3999939,6543000,0,1,263.3999939,yahoo_finance_raw
2021-08-17,260.98001099,264.25,257.91000366,260.88000488,5707800,0,1,260.88000488,yahoo_finance_raw
2021-08-18,261.54000854,266.66699219,259.07998657,259.66000366,4705100,0,1,259.66000366,yahoo_finance_raw
2021-08-19,256.83999634,260.48001099,254.13999939,257.3500061,5121000,0,1,257.3500061,yahoo_finance_raw
2021-08-20,257.14001465,263.5,257.08499146,263.04998779,4749600,0,1,263.04998779,yahoo_finance_raw
2021-08-23,267.70999146,273.5,267.07000732,270.44000244,6071300,0,1,270.44000244,yahoo_finance_raw
2021-08-24,272.3999939,274.18798828,269.13000488,270.17001343,4258100,0,1,270.17001343,yahoo_finance_raw
2021-08-25,269.52999878,270.32501221,266.22000122,267.57000732,3428700,0,1,267.57000732,yahoo_finance_raw
2021-08-26,268,268,260.94000244,262.13000488,4314400,0,1,262.13000488,yahoo_finance_raw
2021-08-27,262,270.48400879,261.61499023,268.01000977,4646200,0,1,268.01000977,yahoo_finance_raw
2021-08-30,271,273.86999512,268.5,271.92001343,6348100,0,1,271.92001343,yahoo_finance_raw
2021-08-31,273.5,276.14001465,266.26000977,268.07000732,6309300,0,1,268.07000732,yahoo_finance_raw
2021-09-01,269.01000977,273.1499939,267.94000244,268.25,3942000,0,1,268.25,yahoo_finance_raw
2021-09-02,272.36999512,274.36999512,265.47000122,265.94000244,5215000,0,1,265.94000244,yahoo_finance_raw
2021-09-03,266.54000854,270.63000488,263.67999268,269.73999023,4901800,0,1,269.73999023,yahoo_finance_raw
2021-09-07,270.07998657,270.45001221,263.75,265.82998657,5672200,0,1,265.82998657,yahoo_finance_raw
2021-09-08,264.76000977,265,251.72999573,254.72000122,10481800,0,1,254.72000122,yahoo_finance_raw
2021-09-09,256,258.63000488,251.38000488,251.53999329,5606200,0,1,251.53999329,yahoo_finance_raw
2021-09-10,253.00999451,254.75,247.38000488,247.8999939,6509300,0,1,247.8999939,yahoo_finance_raw
2021-09-13,248.74000549,248.83999634,237.91000366,246.67999268,7879100,0,1,246.67999268,yahoo_finance_raw
2021-09-14,249.1000061,253.41999817,245.67999268,247.05000305,4940400,0,1,247.05000305,yahoo_finance_raw
