date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-07-19,169.50999451,169.91000366,168.88999939,169.61000061,6707400,0,1,169.61000061,yahoo_bootstrap
2021-07-20,170.50999451,170.80000305,168.91999817,169.38999939,6540100,0,1,169.38999939,yahoo_bootstrap
2021-07-21,168.33000183,169,168.13999939,168.75999451,4622600,0,1,168.75999451,yahoo_bootstrap
2021-07-22,168.49000549,169.19000244,168.05999756,169.08999634,4793600,0,1,169.08999634,yahoo_bootstrap
2021-07-23,168.5,168.88000488,167.94999695,168.55999756,5831500,0,1,168.55999756,yahoo_bootstrap
2021-07-26,168.58000183,168.86000061,168.08000183,168.16000366,5229800,0,1,168.16000366,yahoo_bootstrap
2021-07-27,168.72999573,168.91000366,167.92999268,168.44000244,6300200,0,1,168.44000244,yahoo_bootstrap
2021-07-28,168.25999451,169.38000488,167.72000122,169.28999329,7905800,0,1,169.28999329,yahoo_bootstrap
2021-07-29,170.69999695,171.52000427,170.66999817,171.16999817,8119600,0,1,171.16999817,yahoo_bootstrap
2021-07-30,170.72000122,170.99000549,169.38000488,169.82000732,7391700,0,1,169.82000732,yahoo_bootstrap
2021-08-02,169.30000305,170.25,169.1000061,169.61000061,10783200,0,1,169.61000061,yahoo_bootstrap
2021-08-03,169.41999817,169.83000183,169.21000671,169.49000549,5402300,0,1,169.49000549,yahoo_bootstrap
2021-08-04,171.27999878,171.3999939,168.99000549,169.52999878,9796300,0,1,169.52999878,yahoo_bootstrap
2021-08-05,169.36999512,169.44000244,168.19999695,168.86000061,8015000,0,1,168.86000061,yahoo_bootstrap
2021-08-06,165.83999634,165.92999268,164.55000305,164.63999939,13547600,0,1,164.63999939,yahoo_bootstrap
2021-08-09,163.00999451,163.28999329,161.25999451,161.72000122,11547000,0,1,161.72000122,yahoo_bootstrap
2021-08-10,161.38999939,162.11000061,160.67999268,161.77000427,6870800,0,1,161.77000427,yahoo_bootstrap
2021-08-11,163.1499939,164.16999817,162.67999268,164,7382400,0,1,164,yahoo_bootstrap
2021-08-12,163.6499939,164.1000061,162.92999268,164.03999329,5211700,0,1,164.03999329,yahoo_bootstrap
2021-08-13,165.02000427,166.46000671,164.88999939,166.38999939,7466900,0,1,166.38999939,yahoo_bootstrap
2021-08-16,166.72999573,167.38999939,166.58999634,167.22000122,7776500,0,1,167.22000122,yahoo_bootstrap
2021-08-17,167.28999329,167.72999573,166.55999756,166.97000122,7107000,0,1,166.97000122,yahoo_bootstrap
2021-08-18,167.24000549,167.50999451,166.25999451,167.1000061,7697900,0,1,167.1000061,yahoo_bootstrap
2021-08-19,167.24000549,167.28999329,166.16000366,166.61000061,6934300,0,1,166.61000061,yahoo_bootstrap
2021-08-20,166.80000305,167.13999939,166.36000061,166.69999695,7154000,0,1,166.69999695,yahoo_bootstrap
2021-08-23,168.82000732,168.91000366,167.96000671,168.72999573,8190500,0,1,168.72999573,yahoo_bootstrap
2021-08-24,169.03999329,169.27000427,168.52000427,168.6499939,4519200,0,1,168.6499939,yahoo_bootstrap
2021-08-25,167.88000488,167.91999817,166.74000549,167.47999573,5588800,0,1,167.47999573,yahoo_bootstrap
2021-08-26,167.21000671,168.21000671,166.83000183,167.66999817,4371900,0,1,167.66999817,yahoo_bootstrap
2021-08-27,167.58000183,170.19000244,166.86999512,170.19000244,10036400,0,1,170.19000244,yahoo_bootstrap
2021-08-30,169.66000366,169.83999634,169.08999634,169.3500061,3768600,0,1,169.3500061,yahoo_bootstrap
2021-08-31,169.22999573,169.91999817,168.75,169.69000244,6336000,0,1,169.69000244,yahoo_bootstrap
2021-09-01,169.94000244,170,169.16000366,169.69999695,4764900,0,1,169.69999695,yahoo_bootstrap
2021-09-02,169.5,169.63000488,168.82000732,169.25,4599800,0,1,169.25,yahoo_bootstrap
2021-09-03,170.58999634,171.55000305,170.1499939,171.05999756,8353300,0,1,171.05999756,yahoo_bootstrap
2021-09-07,169.55999756,169.77999878,167.63000488,167.71000671,10004600,0,1,167.71000671,yahoo_bootstrap
2021-09-08,168.02000427,168.08000183,166.69999695,167.28999329,6576000,0,1,167.28999329,yahoo_bootstrap
2021-09-09,168.16999817,168.27999878,166.83000183,168.02999878,6641400,0,1,168.02999878,yahoo_bootstrap
2021-09-10,167.80999756,168.08000183,167.1499939,167.17999268,7426300,0,1,167.17999268,yahoo_bootstrap
2021-09-13,167.44999695,168.22000122,167.3999939,167.74000549,5474300,0,1,167.74000549,yahoo_bootstrap
2021-09-14,168.22000122,169.16000366,167.47999573,168.82000732,7922900,0,1,168.82000732,yahoo_bootstrap
2021-09-15,168.13000488,168.36000061,167.44999695,167.83000183,5624900,0,1,167.83000183,yahoo_bootstrap
2021-09-16,164.38000488,164.44000244,163.22999573,164.02999878,11780400,0,1,164.02999878,yahoo_bootstrap
2021-09-17,163.86000061,164.32000732,163.3999939,163.77000427,8369700,0,1,163.77000427,yahoo_bootstrap
2021-09-20,164.28999329,165.27999878,164.07000732,164.94000244,7566600,0,1,164.94000244,yahoo_bootstrap
2021-09-21,165.80999756,166.63000488,165.49000549,166.03999329,7181500,0,1,166.03999329,yahoo_bootstrap
2021-09-22,165.88999939,167.1499939,165.02999878,165.41999817,9777800,0,1,165.41999817,yahoo_bootstrap
2021-09-23,164.1000061,164.19999695,163.27000427,163.50999451,8451900,0,1,163.50999451,yahoo_bootstrap
2021-09-24,163,164,162.74000549,163.30000305,6937500,0,1,163.30000305,yahoo_bootstrap
2021-09-27,163.8500061,164.36000061,163.50999451,163.63999939,4943000,0,1,163.63999939,yahoo_bootstrap
2021-09-28,162.72999573,162.82000732,161.72999573,162.05000305,9282800,0,1,162.05000305,yahoo_bootstrap
2021-09-29,162.3500061,162.74000549,160.97000122,161.32000732,8360700,0,1,161.32000732,yahoo_bootstrap
2021-09-30,162.66000366,164.94999695,162.33999634,164.22000122,10572900,0,1,164.22000122,yahoo_bootstrap
2021-10-01,164.27000427,164.96000671,163.88999939,164.58999634,6654700,0,1,164.58999634,yahoo_bootstrap
2021-10-04,163.69000244,165.53999329,163.47000122,165.36000061,7651700,0,1,165.36000061,yahoo_bootstrap
2021-10-05,163.94000244,164.8500061,163.49000549,164.58999634,5617300,0,1,164.58999634,yahoo_bootstrap
2021-10-06,164.22999573,165.05999756,164.1499939,165.02999878,6067200,0,1,165.02999878,yahoo_bootstrap
2021-10-07,164.02000427,164.8500061,163.96000671,164.16000366,4791500,0,1,164.16000366,yahoo_bootstrap
2021-10-08,166.32000732,166.41999817,164.13999939,164.22999573,8536100,0,1,164.22999573,yahoo_bootstrap
2021-10-11,164.03999329,164.58000183,163.91000366,163.91999817,3820100,0,1,163.91999817,yahoo_bootstrap
2021-10-12,164.57000732,165.44000244,164.30999756,164.66000366,5453000,0,1,164.66000366,yahoo_bootstrap
2021-10-13,165.27999878,167.91999817,165.27999878,167.58999634,11113800,0,1,167.58999634,yahoo_bootstrap
2021-10-14,168.19000244,168.22000122,167.71000671,168,5081400,0,1,168,yahoo_bootstrap
2021-10-15,165.38999939,166.08999634,165.1000061,165.33000183,8699200,0,1,165.33000183,yahoo_bootstrap
2021-10-18,165.41999817,165.58999634,164.80999756,164.91999817,4029600,0,1,164.91999817,yahoo_bootstrap
2021-10-19,166.5,166.5,165.19999695,165.44999695,6588500,0,1,165.44999695,yahoo_bootstrap
2021-10-20,166.21000671,167.11000061,165.92999268,166.8999939,5022000,0,1,166.8999939,yahoo_bootstrap
2021-10-21,166.69999695,166.94000244,166.24000549,166.75,4412400,0,1,166.75,yahoo_bootstrap
2021-10-22,168.66999817,169.53999329,166.66999817,167.77000427,10703900,0,1,167.77000427,yahoo_bootstrap
2021-10-25,168.66000366,169.21000671,168.52999878,168.92999268,4881300,0,1,168.92999268,yahoo_bootstrap
2021-10-26,167.88000488,167.91000366,166.63000488,167.67999268,6658900,0,1,167.67999268,yahoo_bootstrap
2021-10-27,167.72999573,168.19999695,166.86000061,168.11999512,5823100,0,1,168.11999512,yahoo_bootstrap
2021-10-28,168.97999573,169.25,167.52999878,168.08000183,7000700,0,1,168.08000183,yahoo_bootstrap
2021-10-29,166.28999329,166.72999573,165.63999939,166.6499939,7531900,0,1,166.6499939,yahoo_bootstrap
2021-11-01,167.38000488,167.83999634,166.91000366,167.52000427,4975600,0,1,167.52000427,yahoo_bootstrap
2021-11-02,167.42999268,167.63000488,166.96000671,167.16000366,3760700,0,1,167.16000366,yahoo_bootstrap
2021-11-03,165.33999634,165.94999695,164.38000488,165.77000427,9055200,0,1,165.77000427,yahoo_bootstrap
2021-11-04,167.50999451,168.13999939,167.36999512,167.6499939,6656100,0,1,167.6499939,yahoo_bootstrap
2021-11-05,168.41999817,169.94000244,167.8500061,169.83999634,9368900,0,1,169.83999634,yahoo_bootstrap
2021-11-08,170.42999268,170.69999695,170.05999756,170.44999695,4966100,0,1,170.44999695,yahoo_bootstrap
2021-11-09,170.72999573,171.30999756,170.11999512,171.28999329,5781200,0,1,171.28999329,yahoo_bootstrap
2021-11-10,173.66999817,174.6499939,172.11000061,173.1499939,11461800,0,1,173.1499939,yahoo_bootstrap
2021-11-11,173.97999573,174.27000427,173.74000549,174.11999512,5959600,0,1,174.11999512,yahoo_bootstrap
2021-11-12,173.50999451,174.66999817,173.3999939,174.44999695,7894800,0,1,174.44999695,yahoo_bootstrap
2021-11-15,174.1000061,174.58999634,173.69000244,174.17999268,5630800,0,1,174.17999268,yahoo_bootstrap
2021-11-16,173.97000122,174.47999573,172.86000061,172.91999817,8667300,0,1,172.91999817,yahoo_bootstrap
2021-11-17,174.24000549,174.61000061,173.88999939,174.5,6523100,0,1,174.5,yahoo_bootstrap
2021-11-18,173.96000671,174.36000061,173.52999878,173.94000244,6252000,0,1,173.94000244,yahoo_bootstrap
2021-11-19,173.69000244,174.1000061,172.24000549,172.61000061,8785600,0,1,172.61000061,yahoo_bootstrap
2021-11-22,169.8999939,170.44000244,168.41999817,168.74000549,13091900,0,1,168.74000549,yahoo_bootstrap
2021-11-23,167.27999878,167.6000061,166.52999878,167.27999878,8047800,0,1,167.27999878,yahoo_bootstrap
2021-11-24,166.58000183,167.44000244,166.32000732,167.11999512,5359500,0,1,167.11999512,yahoo_bootstrap
2021-11-26,168.6000061,168.63999939,166.36999512,166.8500061,9605200,0,1,166.8500061,yahoo_bootstrap
2021-11-29,166.83999634,167.25999451,166.38000488,166.61999512,7394900,0,1,166.61999512,yahoo_bootstrap
2021-11-30,167.77000427,169.00999451,165.36999512,165.5,12925300,0,1,165.5,yahoo_bootstrap
2021-12-01,166.83999634,167.47000122,166.05999756,166.16000366,7808600,0,1,166.16000366,yahoo_bootstrap
2021-12-02,165.88999939,165.94000244,164.63000488,165.24000549,9604100,0,1,165.24000549,yahoo_bootstrap
2021-12-03,165.49000549,166.92999268,165,166.63000488,9507900,0,1,166.63000488,yahoo_bootstrap
2021-12-06,166.13999939,166.80000305,165.92999268,166.22000122,4813600,0,1,166.22000122,yahoo_bootstrap
2021-12-07,166.19999695,167.08000183,166.17999268,166.80999756,4900700,0,1,166.80999756,yahoo_bootstrap
2021-12-08,166.50999451,166.96000671,166.27999878,166.8999939,4288900,0,1,166.8999939,yahoo_bootstrap
2021-12-09,166.53999329,166.58000183,165.6499939,165.88000488,4913800,0,1,165.88000488,yahoo_bootstrap
2021-12-10,166.72000122,166.91999817,166.17999268,166.58000183,6450600,0,1,166.58000183,yahoo_bootstrap
2021-12-13,166.8999939,167.25999451,166.66999817,167,6610700,0,1,167,yahoo_bootstrap
2021-12-14,165.33999634,166.13999939,165.16000366,165.44000244,8637900,0,1,165.44000244,yahoo_bootstrap
2021-12-15,165.27000427,166.3999939,163.80000305,166.1499939,14231200,0,1,166.1499939,yahoo_bootstrap
2021-12-16,167.00999451,168.17999268,166.94000244,168.16000366,11186200,0,1,168.16000366,yahoo_bootstrap
2021-12-17,168.72999573,169.13000488,167.77999878,167.80000305,9856900,0,1,167.80000305,yahoo_bootstrap
2021-12-20,167.88000488,168,167.05999756,167.08999634,6973000,0,1,167.08999634,yahoo_bootstrap
2021-12-21,167.69000244,167.77999878,166.74000549,167.02000427,4548500,0,1,167.02000427,yahoo_bootstrap
2021-12-22,167.58000183,168.63999939,167.11000061,168.58999634,4672900,0,1,168.58999634,yahoo_bootstrap
2021-12-23,168.69000244,169.16000366,168.00999451,168.97000122,4551100,0,1,168.97000122,yahoo_bootstrap
2021-12-27,168.96000671,169.41999817,168.77999878,169.36999512,4760300,0,1,169.36999512,yahoo_bootstrap
2021-12-28,169.33000183,169.6499939,168.61999512,168.63999939,4541900,0,1,168.63999939,yahoo_bootstrap
2021-12-29,167.36000061,168.69000244,167.27999878,168.58999634,5889700,0,1,168.58999634,yahoo_bootstrap
2021-12-30,168.42999268,169.80999756,168.36999512,169.80000305,5426300,0,1,169.80000305,yahoo_bootstrap
2021-12-31,170.52999878,171.03999329,170.03999329,170.96000671,7039300,0,1,170.96000671,yahoo_bootstrap
2022-01-03,168.86000061,169.00999451,168,168.33000183,9014400,0,1,168.33000183,yahoo_bootstrap
2022-01-04,168.8999939,169.72000122,168.72999573,169.57000732,6965600,0,1,169.57000732,yahoo_bootstrap
2022-01-05,170.61999512,170.92999268,168.8999939,169.05999756,8715600,0,1,169.05999756,yahoo_bootstrap
2022-01-06,167.16000366,167.75,166.86000061,166.99000549,10902700,0,1,166.99000549,yahoo_bootstrap
2022-01-07,167.36999512,168.00999451,166.86000061,167.75,8191900,0,1,167.75,yahoo_bootstrap
2022-01-10,167.36000061,168.30000305,167.30999756,168.25999451,7026500,0,1,168.25999451,yahoo_bootstrap
2022-01-11,168.44000244,170.30999756,168.36999512,170.28999329,8369000,0,1,170.28999329,yahoo_bootstrap
2022-01-12,170.19000244,170.75,170.00999451,170.74000549,6280700,0,1,170.74000549,yahoo_bootstrap
2022-01-13,170.08999634,170.22000122,169.27000427,170.16000366,7034200,0,1,170.16000366,yahoo_bootstrap
2022-01-14,170.22000122,170.55999756,169.47999573,169.66999817,7865900,0,1,169.66999817,yahoo_bootstrap
2022-01-18,169.63999939,170.00999451,169.08999634,169.38999939,9322800,0,1,169.38999939,yahoo_bootstrap
2022-01-19,170.38999939,172.19000244,170.19999695,172.08000183,15784500,0,1,172.08000183,yahoo_bootstrap
2022-01-20,172.30999756,172.6000061,171.58999634,171.6499939,9570500,0,1,171.6499939,yahoo_bootstrap
