date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-07-19,23.82999992,23.90999985,23.35000038,23.61000061,1785500,0,1,19.33360115,yahoo_bootstrap
2021-07-20,23.57999992,24.02000046,23.35000038,23.85000038,1434500,0,1,19.53013058,yahoo_bootstrap
2021-07-21,24.23999977,24.77000046,24.23999977,24.61000061,677600,0,1,20.15247454,yahoo_bootstrap
2021-07-22,24.70999908,24.79000092,24.26000023,24.42000008,498200,0,1,19.99688816,yahoo_bootstrap
2021-07-23,24.56999969,24.56999969,24.19000053,24.36000061,682200,0,1,19.94775619,yahoo_bootstrap
2021-07-26,24.40999985,24.98999977,24.40999985,24.89999962,1349300,0,1,20.38994701,yahoo_bootstrap
2021-07-27,24.73999977,24.79000092,24.48999977,24.72999954,1322100,0,1,20.25073847,yahoo_bootstrap
2021-07-28,24.77000046,25.04999924,24.59000015,24.94000053,1569400,0,1,20.42270269,yahoo_bootstrap
2021-07-29,25.31999969,25.42000008,25.17000008,25.20999908,1027300,0,1,20.64379732,yahoo_bootstrap
2021-07-30,25.14999962,25.20000076,24.70000076,24.82999992,2257400,0,1,20.33262612,yahoo_bootstrap
2021-08-02,24.90999985,25.37000084,24.67000008,24.67000008,1570700,0,1,20.20160651,yahoo_bootstrap
2021-08-03,24.79000092,25.20000076,24.51000023,25.18000031,1196000,0,1,20.61923212,yahoo_bootstrap
2021-08-04,24.85000038,25,24.54999924,24.57999992,912700,0,1,20.12790777,yahoo_bootstrap
2021-08-05,24.77000046,25.12000084,24.73999977,24.88999939,942200,0,1,20.38175809,yahoo_bootstrap
2021-08-06,25.03000069,25.15999985,24.89999962,25.04999924,532500,0,1,20.51277771,yahoo_bootstrap
2021-08-09,24.79000092,24.89999962,24.60000038,24.75,1147500,0,1,20.26711631,yahoo_bootstrap
2021-08-10,24.80999947,25.14999962,24.80999947,25.10000038,8904600,0,1,20.55372231,yahoo_bootstrap
2021-08-11,25.13999939,25.37999916,25.02000046,25.34000015,802800,0,1,20.75025173,yahoo_bootstrap
2021-08-12,25.30999947,25.40999985,25.04999924,25.26000023,331400,0,1,20.68474193,yahoo_bootstrap
2021-08-13,25.20000076,25.20999908,24.97999954,25.04000092,328200,0,1,20.50459035,yahoo_bootstrap
2021-08-16,24.68000031,24.71999931,24.38999939,24.60000038,924600,0,1,20.14428562,yahoo_bootstrap
2021-08-17,24.39999962,24.73999977,24.22999954,24.43000031,1034400,0,1,20.00507708,yahoo_bootstrap
2021-08-18,24.40999985,24.48999977,23.95000076,23.97999954,745900,0,1,19.63658343,yahoo_bootstrap
2021-08-19,23.51000023,23.62000084,23.07999992,23.34000015,3867300,0,1,19.11250496,yahoo_bootstrap
2021-08-20,23.14999962,23.46999931,23.10000038,23.39999962,555600,0,1,19.16163693,yahoo_bootstrap
2021-08-23,23.86000061,24.23999977,23.85000038,24.18000031,833700,0,1,19.80035874,yahoo_bootstrap
2021-08-24,24.35000038,24.62000084,24.27000046,24.54000092,602800,0,1,20.09515365,yahoo_bootstrap
2021-08-25,24.48999977,24.72999954,24.38999939,24.64999962,3244600,0,1,20.18522866,yahoo_bootstrap
2021-08-26,24.52000046,24.63999939,24.30999947,24.36000061,723200,0,1,19.94775619,yahoo_bootstrap
2021-08-27,24.56999969,25.05999947,24.53000069,24.95000076,625200,0,1,20.43089161,yahoo_bootstrap
2021-08-30,25.06999969,25.06999969,24.76000023,24.77000046,558600,0,1,20.28349416,yahoo_bootstrap
2021-08-31,24.63999939,24.79999924,24.54000092,24.62999916,3914500,0,1,20.16885082,yahoo_bootstrap
2021-09-01,24.61000061,24.70999908,24.35000038,24.39999962,752100,0,1,19.98051032,yahoo_bootstrap
2021-09-02,24.62999916,25.05999947,24.59000015,24.93000031,1618700,0,1,20.41451378,yahoo_bootstrap
2021-09-03,24.93000031,25.02000046,24.73999977,24.85000038,590100,0,1,20.34900396,yahoo_bootstrap
2021-09-07,24.79999924,25.03000069,24.69000053,24.75,1010500,0,1,20.26711631,yahoo_bootstrap
2021-09-08,24.85000038,24.96999931,24.45000076,24.46999931,642700,0,1,20.0378312,yahoo_bootstrap
2021-09-09,24.29999924,24.68000031,24.20000076,24.42000008,535300,0,1,19.99688816,yahoo_bootstrap
2021-09-10,24.77000046,24.77000046,24.39999962,24.42000008,682300,0,1,19.99688816,yahoo_bootstrap
2021-09-13,24.77000046,25.20999908,24.77000046,25.09000015,698500,0,1,20.54553339,yahoo_bootstrap
2021-09-14,25.31999969,25.35000038,24.72999954,24.79999924,923500,0,1,20.30805936,yahoo_bootstrap
2021-09-15,25.19000053,25.62999916,25.10000038,25.62000084,3206500,0,1,20.97953685,yahoo_bootstrap
2021-09-16,25.62999916,25.62999916,25.23999977,25.36000061,7180600,0,1,20.76662958,yahoo_bootstrap
2021-09-17,25.21999931,25.45000076,25,25.06999969,934100,0,1,20.52915554,yahoo_bootstrap
2021-09-20,24.46999931,24.62000084,24.06999969,24.43000031,1224100,0,1,20.00507708,yahoo_bootstrap
2021-09-21,24.79999924,24.93000031,24.45999908,24.70000076,731100,0,1,20.22617327,yahoo_bootstrap
2021-09-22,25.14999962,25.63999939,25.14999962,25.34000015,845900,0,1,20.75025173,yahoo_bootstrap
2021-09-23,25.52000046,26.09000015,25.39999962,26.04999924,2539900,0,1,21.33165109,yahoo_bootstrap
2021-09-24,25.85000038,26.21999931,25.79000092,26.12000084,1066700,0,1,21.38897354,yahoo_bootstrap
2021-09-27,26.53000069,27.03000069,26.53000069,26.93000031,1481800,0,1,22.05226055,yahoo_bootstrap
2021-09-28,27.23999977,27.45999908,26.98999977,27.04000092,3679400,0,1,22.14233712,yahoo_bootstrap
2021-09-29,27,27.12999916,26.70999908,27.01000023,847400,0,1,22.11777035,yahoo_bootstrap
2021-09-30,26.98999977,27.19000053,26.76000023,26.85000038,1370300,0,1,21.98675074,yahoo_bootstrap
2021-10-01,26.97999954,27.52000046,26.96999931,27.48999977,1307900,0,1,22.5108292,yahoo_bootstrap
2021-10-04,27.76000023,28.11000061,27.69000053,27.87000084,2033800,0,1,22.82200197,yahoo_bootstrap
2021-10-05,28.26000023,28.47999954,27.94000053,28.14999962,1597000,0,1,23.05128552,yahoo_bootstrap
2021-10-06,27.67000008,27.89999962,27.39999962,27.85000038,2962600,0,1,22.80562412,yahoo_bootstrap
2021-10-07,27.82999992,28.12000084,27.70999908,27.98999977,1807500,0,1,22.9202659,yahoo_bootstrap
2021-10-08,28.26000023,28.72999954,28.25,28.65999985,2098400,0,1,23.46891113,yahoo_bootstrap
2021-10-11,29.06999969,29.14999962,28.65999985,28.65999985,2077000,0,1,23.46891113,yahoo_bootstrap
2021-10-12,28.63999939,28.89999962,28.54000092,28.70999908,644500,0,1,23.50985417,yahoo_bootstrap
2021-10-13,28.57999992,28.87000084,28.31999969,28.75,2267500,0,1,23.54260986,yahoo_bootstrap
2021-10-14,29.14999962,29.32999992,28.92000008,29.14999962,1165400,0,1,23.8701589,yahoo_bootstrap
2021-10-15,29.43000031,29.54000092,29.34000015,29.36000061,1148900,0,1,24.04212312,yahoo_bootstrap
2021-10-18,29.52000046,29.67000008,29.23999977,29.35000038,795400,0,1,24.0339342,yahoo_bootstrap
2021-10-19,29.45999908,29.69000053,29.35000038,29.59000015,1211300,0,1,24.23046363,yahoo_bootstrap
2021-10-20,29.44000053,29.82999992,29.35000038,29.82999992,1470100,0,1,24.42699305,yahoo_bootstrap
2021-10-21,29.70000076,29.71999931,29.11000061,29.29000092,1618300,0,1,23.98480224,yahoo_bootstrap
2021-10-22,29.34000015,29.45000076,29.06999969,29.44000053,652800,0,1,24.10763293,yahoo_bootstrap
2021-10-25,29.70999908,29.93000031,29.60000038,29.78000069,635200,0,1,24.38605001,yahoo_bootstrap
2021-10-26,29.89999962,29.98999977,29.72999954,29.86000061,758400,0,1,24.45155982,yahoo_bootstrap
2021-10-27,29.54999924,29.72999954,29.25,29.28000069,1023400,0,1,23.97661332,yahoo_bootstrap
2021-10-28,29.11000061,29.37999916,29.05999947,29.37000084,657100,0,1,24.05031205,yahoo_bootstrap
2021-10-29,29.30999947,29.38999939,28.95000076,29.04999924,1413200,0,1,23.78827125,yahoo_bootstrap
2021-11-01,29.27000046,29.51000023,29.20000076,29.43000031,583900,0,1,24.09944401,yahoo_bootstrap
2021-11-02,29.22999954,29.29000092,29.04000092,29.12000084,300400,0,1,23.8455937,yahoo_bootstrap
2021-11-03,28.70000076,29.01000023,28.67000008,28.85000038,756100,0,1,23.62449751,yahoo_bootstrap
2021-11-04,29.19000053,29.25,28.68000031,28.84000015,6345200,0,1,23.61630859,yahoo_bootstrap
2021-11-05,29.20999908,29.34000015,29,29.25,403400,0,1,23.95204655,yahoo_bootstrap
