date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-07-19,43.65999985,44.09000015,42.88000107,43.20000076,564300,0,1,34.58353824,yahoo_bootstrap
2021-07-20,43.04000092,43.99000168,42.83000183,43.91999817,234600,0,1,35.15992845,yahoo_bootstrap
2021-07-21,44.25999832,45,44.25999832,45,265400,0,1,36.02451836,yahoo_bootstrap
2021-07-22,45.20000076,45.29999924,44.77000046,45.11999893,86000,0,1,36.12058289,yahoo_bootstrap
2021-07-23,45.47999954,45.65000153,45.00999832,45.63999939,170000,0,1,36.53686658,yahoo_bootstrap
2021-07-26,46,46.95000076,45.93000031,46.88000107,198000,0,1,37.52954354,yahoo_bootstrap
2021-07-27,46.68000031,47.86000061,46.06000137,46.49000168,347300,0,1,37.21733153,yahoo_bootstrap
2021-07-28,46.81999969,47.33000183,46.5,47.18000031,172700,0,1,37.76970638,yahoo_bootstrap
2021-07-29,47.79999924,48.58000183,47.70000076,48.47000122,412700,0,1,38.80240998,yahoo_bootstrap
2021-07-30,48,48.08000183,47.25999832,47.45000076,726500,0,1,37.98585386,yahoo_bootstrap
2021-08-02,47.90999985,48.13999939,47.11999893,47.18000031,505000,0,1,37.76970638,yahoo_bootstrap
2021-08-03,47.36999893,47.93000031,46.84000015,47.79000092,235100,0,1,38.25803923,yahoo_bootstrap
2021-08-04,47.68999863,47.97000122,47.34000015,47.45000076,322100,0,1,37.98585386,yahoo_bootstrap
2021-08-05,47.11999893,47.18999863,46.61000061,46.63000107,208500,0,1,37.32940732,yahoo_bootstrap
2021-08-06,46.91999817,47.06999969,46.5,46.63999939,159900,0,1,37.33741143,yahoo_bootstrap
2021-08-09,46.25,46.65000153,46.08000183,46.59000015,225800,0,1,37.2973848,yahoo_bootstrap
2021-08-10,46.45000076,47.38999939,46.45000076,47.29999924,111000,0,1,37.86577091,yahoo_bootstrap
2021-08-11,47.63000107,48.04999924,47.52000046,47.97999954,247100,0,1,38.41014165,yahoo_bootstrap
2021-08-12,47.88000107,47.88000107,47.24000168,47.68000031,204600,0,1,38.16997881,yahoo_bootstrap
2021-08-13,47.65000153,47.93000031,47.5,47.77999878,113200,0,1,38.25003207,yahoo_bootstrap
2021-08-16,47.20000076,47.59999847,46.40999985,47.11999893,208200,0,1,37.72167259,yahoo_bootstrap
2021-08-17,46.25999832,46.43999863,45.25,45.68999863,371000,0,1,36.57689321,yahoo_bootstrap
2021-08-18,44.99000168,45.13000107,44.47000122,44.63999939,436000,0,1,35.73632172,yahoo_bootstrap
2021-08-19,43.02000046,43.25999832,42.54999924,42.68000031,2031400,0,1,34.16725455,yahoo_bootstrap
2021-08-20,42.50999832,42.70999908,42.11000061,42.65999985,331300,0,1,34.15124328,yahoo_bootstrap
2021-08-23,42.90000153,43.63000107,42.84999847,43.47000122,327000,0,1,34.79968571,yahoo_bootstrap
2021-08-24,44.31999969,44.68000031,44.04000092,44.56999969,176500,0,1,35.68028383,yahoo_bootstrap
2021-08-25,44.84000015,44.88999939,44.40999985,44.79000092,283900,0,1,35.85640467,yahoo_bootstrap
2021-08-26,44.47000122,44.56999969,44.04999924,44.11999893,76800,0,1,35.32003803,yahoo_bootstrap
2021-08-27,44.45000076,45.54999924,44.45000076,45.45999908,135400,0,1,36.39276826,yahoo_bootstrap
2021-08-30,45.70999908,46.08000183,45.70000076,45.84999847,233500,0,1,36.70498026,yahoo_bootstrap
2021-08-31,45.83000183,45.90000153,45.25999832,45.54000092,200400,0,1,36.45681331,yahoo_bootstrap
2021-09-01,45.16999817,45.49000168,44.75,45.31000137,286600,0,1,36.27268836,yahoo_bootstrap
2021-09-02,45.59999847,45.77000046,45.43000031,45.52000046,229500,0,1,36.44080205,yahoo_bootstrap
2021-09-03,45.68999863,46.18000031,45.68999863,46.06999969,682100,0,1,36.88110111,yahoo_bootstrap
2021-09-07,45.97000122,46.13999939,45.54999924,45.58000183,591700,0,1,36.48883584,yahoo_bootstrap
2021-09-08,45.45999908,45.5,44.58000183,44.83000183,132800,0,1,35.8884272,yahoo_bootstrap
2021-09-09,44.72000122,45.06999969,44.65000153,44.90000153,143500,0,1,35.9444651,yahoo_bootstrap
2021-09-10,45.40000153,45.81000137,45.04999924,45.13999939,105200,0,1,36.13659415,yahoo_bootstrap
2021-09-13,45.58000183,45.83000183,45.25,45.43999863,123000,0,1,36.376757,yahoo_bootstrap
2021-09-14,45.52999878,45.52999878,44.61000061,44.66999817,225000,0,1,35.76033709,yahoo_bootstrap
2021-09-15,44.74000168,45.43000031,44.66999817,45.33000183,217900,0,1,36.28869963,yahoo_bootstrap
2021-09-16,44.49000168,44.56000137,43.68000031,43.79000092,197200,0,1,35.05585982,yahoo_bootstrap
2021-09-17,42.90000153,43.09000015,42.04999924,42.22000122,354900,0,1,33.79900465,yahoo_bootstrap
2021-09-20,40.66999817,40.77000046,39.90000153,40.41999817,676100,0,1,32.35802147,yahoo_bootstrap
2021-09-21,40.70999908,41,40.13000107,40.59000015,380900,0,1,32.49411568,yahoo_bootstrap
2021-09-22,41.16999817,41.99000168,41.16999817,41.49000168,332000,0,1,33.21460727,yahoo_bootstrap
2021-09-23,41.97000122,42.20999908,41.59999847,42.06999969,438200,0,1,33.6789217,yahoo_bootstrap
2021-09-24,41.49000168,41.75,41.11000061,41.59000015,133200,0,1,33.29466054,yahoo_bootstrap
2021-09-27,41.06000137,41.88999939,41.06000137,41.77000046,280300,0,1,33.43875885,yahoo_bootstrap
2021-09-28,41.09000015,41.38999939,40.54999924,40.68999863,522900,0,1,32.57416895,yahoo_bootstrap
2021-09-29,40.95999908,40.95999908,40.34999847,40.43000031,182000,0,1,32.36602863,yahoo_bootstrap
2021-09-30,40.65000153,41.31000137,40.65000153,40.77999878,204000,0,1,32.64621811,yahoo_bootstrap
2021-10-01,40.91999817,41.18999863,40.52999878,41.09999847,198500,0,1,32.90239221,yahoo_bootstrap
2021-10-04,41.11000061,41.29999924,40.59999847,40.68999863,447700,0,1,32.57416895,yahoo_bootstrap
2021-10-05,40.88999939,41.11000061,40.40999985,40.90999985,241200,0,1,32.75028979,yahoo_bootstrap
2021-10-06,40.38999939,40.59000015,39.84999847,40.54999924,271900,0,1,32.46209316,yahoo_bootstrap
2021-10-07,40.91999817,41.81000137,40.84999847,41.58000183,157100,0,1,33.28665643,yahoo_bootstrap
2021-10-08,41.99000168,42.08000183,41.47000122,41.70999908,346600,0,1,33.39072506,yahoo_bootstrap
2021-10-11,42.77999878,43.15999985,42.38999939,42.38999939,229400,0,1,33.93509581,yahoo_bootstrap
2021-10-12,42.75,42.86000061,42.40000153,42.56000137,1532700,0,1,34.07119002,yahoo_bootstrap
2021-10-13,42.77000046,42.90999985,42.25,42.86999893,215600,0,1,34.31935697,yahoo_bootstrap
2021-10-14,43.86999893,44.06999969,43.5,43.90000153,250400,0,1,35.14392024,yahoo_bootstrap
2021-10-15,44.18999863,44.56000137,44.15000153,44.41999817,162800,0,1,35.56020088,yahoo_bootstrap
2021-10-18,44.29000092,44.5,43.95999908,44.47999954,115100,0,1,35.60823467,yahoo_bootstrap
2021-10-19,44.59000015,44.72999954,44.11000061,44.25999832,412400,0,1,35.43211383,yahoo_bootstrap
2021-10-20,43.77000046,44.29999924,43.5,44.09000015,185600,0,1,35.29602267,yahoo_bootstrap
2021-10-21,43.40000153,43.47999954,42.59999847,42.90999985,258200,0,1,34.3513795,yahoo_bootstrap
2021-10-22,42.75,43.36000061,42.5,42.88000107,198000,0,1,34.32736413,yahoo_bootstrap
2021-10-25,43.24000168,43.97999954,43.24000168,43.90999985,295800,0,1,35.15192435,yahoo_bootstrap
2021-10-26,44,44.18000031,43.68000031,43.72999954,286300,0,1,35.00782603,yahoo_bootstrap
2021-10-27,43.02999878,43.40000153,42.56999969,42.63999939,345500,0,1,34.13523202,yahoo_bootstrap
2021-10-28,42.63999939,42.90000153,42.40999985,42.72000122,673400,0,1,34.19927707,yahoo_bootstrap
2021-10-29,42.40000153,42.81999969,42.15999985,42.43000031,130300,0,1,33.96711833,yahoo_bootstrap
2021-11-01,43,43,42.43999863,42.65000153,671200,0,1,34.14323918,yahoo_bootstrap
2021-11-02,41.66999817,41.90999985,41.50999832,41.75999832,330300,0,1,33.43075169,yahoo_bootstrap
2021-11-03,42,42.20999908,41.5,42.11999893,306100,0,1,33.71894833,yahoo_bootstrap
2021-11-04,41.93000031,42.11999893,41.20999908,41.43000031,795300,0,1,33.16657348,yahoo_bootstrap
2021-11-05,41.27999878,41.5,41.13999939,41.38000107,615500,0,1,33.12654685,yahoo_bootstrap
2021-11-08,41.95000076,42.47999954,41.79000092,42.38000107,175100,0,1,33.9270917,yahoo_bootstrap
