date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-07-19,121.59500122,123.51999664,121.04499817,123.40000153,12380400,0,1,119.73079616,yahoo_bootstrap
2021-07-20,123.85500336,125.65000153,122.20500183,124.91000366,7590200,0,1,121.19589952,yahoo_bootstrap
2021-07-21,125.5,128.53500366,125.31999969,128.5,6349200,0,1,124.67915004,yahoo_bootstrap
2021-07-22,127.70500183,128.4750061,126.85500336,127.72499847,6214400,0,1,123.9271926,yahoo_bootstrap
2021-07-23,128.30999756,128.68499756,127.04499817,128.65499878,4456400,0,1,124.82954005,yahoo_bootstrap
2021-07-26,128.05000305,128.75,127.59999847,128.50999451,2543800,0,1,124.68884738,yahoo_bootstrap
2021-07-27,127.65499878,127.93499756,123.71499634,126.23999786,6706600,0,1,122.48634735,yahoo_bootstrap
2021-07-28,126.65000153,128.80499268,126.00499725,128.49499512,6731600,0,1,124.67429398,yahoo_bootstrap
2021-07-29,128.61999512,131.07499695,128.58000183,130.90499878,6820600,0,1,127.01263801,yahoo_bootstrap
2021-07-30,129.56500244,131.97999573,129.55999756,131.57000732,6459600,0,1,127.65787303,yahoo_bootstrap
2021-08-02,132.69500732,133.97000122,132.13999939,132.5,8518600,0,1,128.56021308,yahoo_bootstrap
2021-08-03,132.76499939,133.71000671,131.42500305,133.69999695,6436600,0,1,129.72452903,yahoo_bootstrap
2021-08-04,134.1000061,135.66000366,133.88499451,135.16000366,7092600,0,1,131.14112355,yahoo_bootstrap
2021-08-05,135.58999634,135.89500427,134.26499939,135.00999451,5626600,0,1,130.99557481,yahoo_bootstrap
2021-08-06,134.00500488,135.00999451,133.95500183,134.28500366,4119400,0,1,130.29214101,yahoo_bootstrap
2021-08-09,134.53999329,134.8999939,133.36500549,133.88000488,3998000,0,1,129.89918456,yahoo_bootstrap
2021-08-10,134.30499268,134.35499573,131.35499573,132.16499329,6655400,0,1,128.23516754,yahoo_bootstrap
2021-08-11,132.71000671,132.78999329,130.30999756,131.81500244,4258200,0,1,127.8955834,yahoo_bootstrap
2021-08-12,131.13499451,131.14500427,129.33999634,130.375,9066200,0,1,126.49839834,yahoo_bootstrap
2021-08-13,130.46499634,131.2749939,129.94999695,131.2250061,5656400,0,1,127.32313016,yahoo_bootstrap
2021-08-16,130.69000244,131.24000549,129.66999817,130.66000366,4517600,0,1,126.77492764,yahoo_bootstrap
2021-08-17,129.44500732,129.4750061,127.09500122,128.18499756,10177000,0,1,124.37351396,yahoo_bootstrap
2021-08-18,128.07499695,128.99000549,126.43000031,126.52999878,5631800,0,1,122.76772532,yahoo_bootstrap
2021-08-19,125.51999664,128.36000061,124.67500305,127.63999939,8966600,0,1,123.8447209,yahoo_bootstrap
2021-08-20,127.94000244,128.625,126.85500336,128.19000244,6447400,0,1,124.37837003,yahoo_bootstrap
2021-08-23,129.66499329,132.02000427,129.6499939,131.875,9150200,0,1,127.95379698,yahoo_bootstrap
2021-08-24,132.19000244,132.71000671,131.66999817,131.96499634,4813000,0,1,128.04111735,yahoo_bootstrap
2021-08-25,132.41999817,134.42999268,132.41999817,133.3999939,10724000,0,1,129.43344635,yahoo_bootstrap
2021-08-26,133.31500244,134.13000488,132.51499939,133.60499573,5221600,0,1,129.6323526,yahoo_bootstrap
2021-08-27,133.75500488,136.27999878,133.66000366,136.02000427,6363400,0,1,131.9755527,yahoo_bootstrap
