date,nav,currency,source
2019-01-30,9.9995,USD,anuefund_public
2019-01-31,10.001,USD,anuefund_public
2019-02-01,9.9992,USD,anuefund_public
2019-02-11,9.9892,USD,anuefund_public
2019-02-12,9.994,USD,anuefund_public
2019-02-13,9.9962,USD,anuefund_public
2019-02-14,10.0059,USD,anuefund_public
2019-02-15,10.0253,USD,anuefund_public
2019-02-18,10.0253,USD,anuefund_public
2019-02-19,10.0278,USD,anuefund_public
2019-02-20,10.0504,USD,anuefund_public
2019-02-21,10.0445,USD,anuefund_public
2019-02-22,10.0852,USD,anuefund_public
2019-02-23,10.0852,USD,anuefund_public
2019-02-25,10.0983,USD,anuefund_public
2019-02-26,10.0652,USD,anuefund_public
2019-02-27,10.0731,USD,anuefund_public
2019-03-04,10.0435,USD,anuefund_public
2019-03-05,10.0174,USD,anuefund_public
2019-03-06,9.9743,USD,anuefund_public
2019-03-07,9.9446,USD,anuefund_public
2019-03-08,9.9179,USD,anuefund_public
2019-03-11,9.9827,USD,anuefund_public
2019-03-12,9.997,USD,anuefund_public
2019-03-13,10.006,USD,anuefund_public
2019-03-14,10.0078,USD,anuefund_public
2019-03-15,10.0504,USD,anuefund_public
2019-03-18,10.0495,USD,anuefund_public
2019-03-19,10.0699,USD,anuefund_public
2019-03-20,10.0408,USD,anuefund_public
2019-03-21,10.1052,USD,anuefund_public
2019-03-22,9.9784,USD,anuefund_public
2019-03-25,9.9551,USD,anuefund_public
2019-03-26,9.9842,USD,anuefund_public
2019-03-27,9.936,USD,anuefund_public
2019-03-28,9.9427,USD,anuefund_public
2019-03-29,9.982,USD,anuefund_public
2019-04-01,10.0152,USD,anuefund_public
2019-04-02,10.0205,USD,anuefund_public
2019-04-03,10.0639,USD,anuefund_public
2019-04-08,10.0853,USD,anuefund_public
2019-04-09,10.0856,USD,anuefund_public
2019-04-10,10.126,USD,anuefund_public
2019-04-11,10.1131,USD,anuefund_public
2019-04-12,10.153,USD,anuefund_public
