date,nav,currency,source
2016-06-29,100,USD,anuefund_public
2016-06-30,101.7905,USD,anuefund_public
2016-07-01,104.0493,USD,anuefund_public
2016-07-04,108.4751,USD,anuefund_public
2016-07-05,108.8016,USD,anuefund_public
2016-07-06,111.1636,USD,anuefund_public
2016-07-07,113.8706,USD,anuefund_public
2016-07-08,110.9243,USD,anuefund_public
2016-07-11,113.9818,USD,anuefund_public
2016-07-12,114.3087,USD,anuefund_public
2016-07-13,111.5317,USD,anuefund_public
2016-07-14,113.2561,USD,anuefund_public
2016-07-15,112.5928,USD,anuefund_public
2016-07-18,111.5342,USD,anuefund_public
2016-07-19,111.3416,USD,anuefund_public
2016-07-20,110.1903,USD,anuefund_public
2016-07-21,104.555,USD,anuefund_public
2016-07-22,107.657,USD,anuefund_public
2016-07-25,107.099,USD,anuefund_public
2016-07-26,104.32,USD,anuefund_public
2016-07-27,107.0538,USD,anuefund_public
2016-07-28,112.0798,USD,anuefund_public
2016-07-29,111.5564,USD,anuefund_public
2016-08-01,113.7775,USD,anuefund_public
2016-08-02,114.7955,USD,anuefund_public
2016-08-03,117,USD,anuefund_public
2016-08-04,115.4658,USD,anuefund_public
2016-08-05,116.5258,USD,anuefund_public
2016-08-08,112.7521,USD,anuefund_public
2016-08-09,113.1828,USD,anuefund_public
2016-08-10,115.2278,USD,anuefund_public
2016-08-11,116.5673,USD,anuefund_public
2016-08-12,116.445,USD,anuefund_public
2016-08-15,115.659,USD,anuefund_public
2016-08-16,115.5369,USD,anuefund_public
2016-08-17,114.2048,USD,anuefund_public
2016-08-18,113.8695,USD,anuefund_public
2016-08-19,114.3151,USD,anuefund_public
2016-08-22,112.0395,USD,anuefund_public
2016-08-23,110.593,USD,anuefund_public
2016-08-24,108.3242,USD,anuefund_public
2016-08-25,101.5395,USD,anuefund_public
2016-08-26,102.7588,USD,anuefund_public
2016-08-29,101.1917,USD,anuefund_public
2016-08-30,101.615,USD,anuefund_public
2016-08-31,96.4983,USD,anuefund_public
2016-09-01,94.9368,USD,anuefund_public
2016-09-02,98.7506,USD,anuefund_public
2016-09-05,98.7506,USD,anuefund_public
2016-09-06,101.6994,USD,anuefund_public
2016-09-07,106.8011,USD,anuefund_public
2016-09-08,105.7078,USD,anuefund_public
2016-09-09,102.9563,USD,anuefund_public
2016-09-12,98.0395,USD,anuefund_public
2016-09-13,100.7312,USD,anuefund_public
2016-09-14,97.5977,USD,anuefund_public
2016-09-15,97.8555,USD,anuefund_public
2016-09-16,97.6922,USD,anuefund_public
2016-09-19,97.6322,USD,anuefund_public
2016-09-20,97.8507,USD,anuefund_public
2016-09-21,98.1598,USD,anuefund_public
2016-09-22,104.7203,USD,anuefund_public
2016-09-23,103.847,USD,anuefund_public
2016-09-26,102.0067,USD,anuefund_public
2016-09-27,101.3446,USD,anuefund_public
2016-09-28,99.3635,USD,anuefund_public
2016-09-29,101.1755,USD,anuefund_public
2016-09-30,100.7109,USD,anuefund_public
2016-10-03,99.7463,USD,anuefund_public
2016-10-04,97.7624,USD,anuefund_public
2016-10-05,89.9029,USD,anuefund_public
2016-10-06,89.5463,USD,anuefund_public
2016-10-07,87.7947,USD,anuefund_public
2016-10-10,87.8951,USD,anuefund_public
2016-10-11,87.4768,USD,anuefund_public
2016-10-12,86.0973,USD,anuefund_public
2016-10-13,88.1473,USD,anuefund_public
2016-10-14,88.8974,USD,anuefund_public
2016-10-17,86.9381,USD,anuefund_public
2016-10-18,88.5662,USD,anuefund_public
2016-10-19,91.5944,USD,anuefund_public
2016-10-20,93.7597,USD,anuefund_public
2016-10-21,93.4894,USD,anuefund_public
2016-10-24,93.0552,USD,anuefund_public
2016-10-25,91.6858,USD,anuefund_public
2016-10-26,93.5073,USD,anuefund_public
2016-10-27,91.0082,USD,anuefund_public
2016-10-28,89.542,USD,anuefund_public
2016-10-31,90.797,USD,anuefund_public
2016-11-01,93.7009,USD,anuefund_public
2016-11-02,96.7558,USD,anuefund_public
2016-11-03,95.3296,USD,anuefund_public
2016-11-04,95.0675,USD,anuefund_public
2016-11-07,93.7284,USD,anuefund_public
2016-11-08,91.0881,USD,anuefund_public
2016-11-09,93.1563,USD,anuefund_public
2016-11-10,92.4271,USD,anuefund_public
2016-11-11,85.8582,USD,anuefund_public
2016-11-14,79.8606,USD,anuefund_public
2016-11-15,80.2449,USD,anuefund_public
2016-11-16,83.2222,USD,anuefund_public
