date,open,high,low,close,volume,dividend,split_factor,adjusted_close,source
2021-08-26,229.5,233,223.5,232,2753473,7,1,206.03634408,yahoo_bootstrap
2021-08-27,232.5,234,226.5,228.5,2433345,0,1,202.92803716,yahoo_bootstrap
2021-08-30,231,232,228,230,1320976,0,1,204.2601687,yahoo_bootstrap
2021-08-31,228.5,234,225,234,2345834,0,1,207.81251946,yahoo_bootstrap
2021-09-01,234.5,237.5,230.5,237,3527311,0,1,210.47678253,yahoo_bootstrap
2021-09-02,237,239.5,230.5,232,2849527,0,1,206.03634408,yahoo_bootstrap
2021-09-03,234,234.5,226,232,2999812,0,1,206.03634408,yahoo_bootstrap
2021-09-06,236.5,240,230.5,231,4317873,0,1,205.14825639,yahoo_bootstrap
2021-09-07,234.5,234.5,226.5,228,2822412,0,1,202.48399332,yahoo_bootstrap
2021-09-08,226.5,228,213.5,221.5,4877503,0,1,196.71142333,yahoo_bootstrap
2021-09-09,220,229,220,226.5,2419591,0,1,201.15186178,yahoo_bootstrap
2021-09-10,226,226.5,221.5,225,1777447,0,1,199.81973025,yahoo_bootstrap
2021-09-13,225,225.5,219,219.5,1773663,0,1,194.93524795,yahoo_bootstrap
2021-09-14,219.5,224,219.5,222.5,1314430,0,1,197.59951102,yahoo_bootstrap
2021-09-15,222.5,222.5,215.5,219.5,2415344,0,1,194.93524795,yahoo_bootstrap
2021-09-16,221.5,233,220,231,4236353,0,1,205.14825639,yahoo_bootstrap
2021-09-17,229.5,232.5,227.5,227.5,3515193,0,1,202.03994947,yahoo_bootstrap
2021-09-22,224.5,235.5,222,232.5,3177635,0,1,206.48038792,yahoo_bootstrap
2021-09-23,239,251.5,234,249,12128588,0,1,221.13383481,yahoo_bootstrap
2021-09-24,247,251.5,236.5,238,12170644,0,1,211.36487022,yahoo_bootstrap
2021-09-27,226.5,233,222,226,7483464,0,1,200.70781794,yahoo_bootstrap
2021-09-28,223,229,222.5,228,3852042,0,1,202.48399332,yahoo_bootstrap
2021-09-29,222.5,223,210,214.5,7994368,0,1,190.4948095,yahoo_bootstrap
2021-09-30,218,221,212.5,217.5,3811957,0,1,193.15907257,yahoo_bootstrap
2021-10-01,215.5,215.5,209,210,2887900,0,1,186.4984149,yahoo_bootstrap
2021-10-04,210,214.5,209,209.5,1756577,0,1,186.05437105,yahoo_bootstrap
2021-10-05,208,219,202,218,2997628,0,1,193.60311642,yahoo_bootstrap
2021-10-06,218,220,202.5,203,5385309,0,1,180.28180107,yahoo_bootstrap
2021-10-07,203.5,215.5,203.5,211.5,3881826,0,1,187.83054643,yahoo_bootstrap
2021-10-08,211,218,211,214.5,1661331,0,1,190.4948095,yahoo_bootstrap
2021-10-12,211,214.5,206.5,207,1609764,0,1,183.83415183,yahoo_bootstrap
2021-10-13,208,210,200,200,2021890,0,1,177.617538,yahoo_bootstrap
